AGCO Price to Free Cash Flow Ratio Historical Data,AGCO Price to Free Cash Flow Ratio Historical Data,AGCO Price to Free Cash Flow Ratio Historical Data,AGCO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,100.87,,7.94
2024-06-30,97.56,$12.70,7.68
2024-03-31,119.6,$1.75,68.51
2023-12-31,117.73,$21.53,5.47
2023-06-30,126.83,$7.41,17.12
2023-03-31,124.8,$5.52,22.6
2022-12-31,127.79,$6.04,21.15
2022-09-30,88.44,$-0.25,0.0
2022-06-30,90.58,$-0.95,0.0
2022-03-31,128.91,$1.65,78.04
2021-12-31,102.26,$5.24,19.51
2021-09-30,107.83,$5.73,18.82
2021-06-30,114.57,$9.61,11.92
2021-03-31,122.86,$9.85,12.47
2020-12-31,88.05,$8.31,10.59
2020-09-30,63.33,$9.59,6.6
2020-06-30,47.18,$5.29,8.91
2020-03-31,40.06,$4.07,9.85
2019-12-31,65.34,$5.55,11.77
2019-09-30,63.9,$3.24,19.75
2019-06-30,65.48,$2.72,24.09
2019-03-31,58.58,$3.37,17.4
2018-12-31,46.78,$10.01,4.67
2018-09-30,50.94,$-1.76,0.0
2023-09-30,114.41,$4.77,23.96
2018-06-30,50.76,$3.23,15.72
2018-03-31,54.08,$3.54,15.28
2017-12-31,59.44,$4.71,12.62
2017-09-30,61.26,$3.23,18.94
2017-06-30,55.85,$1.78,31.31
2017-03-31,49.76,$2.84,17.55
2016-12-31,47.74,$2.09,22.82
2016-09-30,40.59,$1.25,32.36
2016-06-30,38.69,$2.78,13.9
2016-03-31,40.69,$2.91,13.98
2015-12-31,37.06,$3.61,10.27
2015-09-30,37.97,$5.35,7.1
2015-06-30,46.14,$4.95,9.32
2015-03-31,38.62,$3.89,9.92
2014-12-31,36.55,$1.48,24.65
2014-09-30,36.67,$0.31,118.37
2014-06-30,45.25,$0.89,50.97
2014-03-31,44.31,$1.35,32.88
2013-12-31,47.44,$4.10,11.56
2013-09-30,48.35,$5.11,9.46
2013-06-30,40.09,$5.68,7.05
2013-03-31,41.56,$3.45,12.03
2012-12-31,39.09,$3.31,11.8
2012-09-30,37.79,$0.76,49.57
2012-06-30,36.4,$1.01,36.07
2012-03-31,37.57,$2.72,13.83
2011-12-31,34.2,$4.35,7.86
2011-09-30,27.51,$4.51,6.1
2011-06-30,39.29,$3.05,12.87
2011-03-31,43.75,$3.11,14.08
2010-12-31,40.32,$2.83,14.26
2010-09-30,31.05,$3.87,8.02
2010-06-30,21.47,$5.06,4.24
2010-03-31,28.55,$4.63,6.16
2009-12-31,25.74,$1.52,16.89
