Crinetics Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Crinetics Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Crinetics Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Crinetics Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,58.92,,0.0
2024-06-30,44.79,$-2.62,0.0
2024-03-31,46.81,$-2.94,0.0
2023-12-31,35.58,$-2.94,0.0
2023-09-30,29.74,$-3.05,0.0
2023-06-30,18.02,$-3.04,0.0
2023-03-31,16.06,$-2.72,0.0
2022-12-31,18.3,$-2.25,0.0
2022-09-30,19.64,$-2.10,0.0
2022-06-30,18.65,$-2.03,0.0
2022-03-31,21.95,$-1.99,0.0
2021-12-31,28.41,$-2.32,0.0
2021-09-30,21.05,$-2.36,0.0
2021-06-30,18.85,$-2.23,0.0
2021-03-31,15.28,$-2.15,0.0
2020-12-31,14.11,$-2.04,0.0
2020-09-30,15.67,$-1.97,0.0
2020-06-30,17.52,$-2.02,0.0
2020-03-31,14.7,$-2.14,0.0
2019-12-31,25.09,$-1.94,0.0
2019-09-30,15.04,$-2.36,0.0
2019-06-30,25.0,$-2.51,0.0
