V.F Price to Free Cash Flow Ratio Historical Data,V.F Price to Free Cash Flow Ratio Historical Data,V.F Price to Free Cash Flow Ratio Historical Data,V.F Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.79,,9.23
2024-06-30,13.43,$2.14,6.27
2024-03-31,15.16,$2.31,6.57
2023-12-31,18.47,$3.16,5.84
2023-09-30,17.28,$0.43,39.98
2023-06-30,18.37,$-0.53,0.0
2023-03-31,21.71,$-1.86,0.0
2022-12-31,25.83,$-2.31,0.0
2022-09-30,27.48,$-0.13,0.0
2022-06-30,40.12,$0.63,63.63
2022-03-31,51.12,$1.66,30.8
2021-12-31,65.22,$1.84,35.46
2021-09-30,59.28,$2.15,27.61
2021-06-30,72.11,$3.03,23.82
2021-03-31,69.81,$2.87,24.3
2020-12-31,74.14,$2.33,31.82
2020-09-30,60.65,$2.56,23.69
2020-06-30,52.24,$1.56,33.52
2020-03-31,46.02,$1.47,31.39
2019-12-31,84.15,$2.13,39.54
2019-09-30,74.75,$2.51,29.74
2019-06-30,73.02,$2.80,26.06
2019-03-31,72.22,$3.62,19.97
2018-12-31,58.93,$3.14,18.75
2018-09-30,76.68,$-0.40,0.0
2018-06-30,66.54,$-0.40,0.0
2018-03-31,60.17,$-0.00,0.0
2017-12-31,59.7,$-0.60,0.0
2017-09-30,50.96,$-0.07,0.0
2017-06-30,45.87,$0.49,93.03
2017-03-31,43.43,$-0.60,0.0
2016-12-31,41.82,$-0.42,0.0
2016-09-30,43.62,$0.46,94.37
2016-06-30,47.56,$0.30,159.7
2016-03-31,49.8,$-0.42,0.0
2015-12-31,47.6,$-0.45,0.0
2015-09-30,51.86,$-1.37,0.0
2015-06-30,52.78,$-0.88,0.0
2014-12-31,56.19,$-0.08,0.0
2014-09-30,49.32,$-0.12,0.0
2014-06-30,46.87,$-0.10,0.0
2014-03-31,45.85,$-0.08,0.0
2013-12-31,45.99,$-0.20,0.0
2013-09-30,36.54,$0.48,76.77
2013-06-30,35.28,$0.21,171.45
2013-03-31,30.52,$-0.20,0.0
2012-12-31,27.32,$-0.30,0.0
2012-09-30,28.67,$-0.22,0.0
2012-06-30,23.9,$0.59,40.35
2012-03-31,26.01,$-0.06,0.0
2011-12-31,22.51,$-0.00,0.0
2011-09-30,21.43,$-0.44,0.0
2015-03-31,56.74,$-2.01,0.0
2011-06-30,19.04,$-0.99,0.0
2011-03-31,17.16,$-0.15,0.0
2010-12-31,14.92,$0.37,39.93
2010-09-30,13.92,$0.77,18.01
2010-06-30,12.13,$0.86,14.09
2010-03-31,13.55,$0.37,36.28
2009-12-31,12.29,$-0.12,0.0
