CNO Financial Price to Free Cash Flow Ratio Historical Data,CNO Financial Price to Free Cash Flow Ratio Historical Data,CNO Financial Price to Free Cash Flow Ratio Historical Data,CNO Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.51,,7.28
2024-06-30,27.58,$5.01,5.5
2024-03-31,27.19,$5.20,5.23
2023-12-31,27.45,$5.06,5.42
2023-09-30,23.21,$4.87,4.76
2023-06-30,23.0,$4.72,4.88
2023-03-31,21.43,$4.46,4.81
2022-12-31,21.94,$4.21,5.21
2022-09-30,17.15,$3.74,4.59
2022-06-30,17.13,$4.21,4.07
2022-03-31,23.59,$4.37,5.39
2021-12-31,22.29,$4.56,4.89
2021-09-30,21.89,$5.03,4.35
2021-06-30,21.84,$4.66,4.69
2021-03-31,22.35,$4.93,4.53
2020-12-31,20.36,$5.14,3.96
2020-09-30,14.61,$4.97,2.94
2020-06-30,14.08,$4.70,3.0
2020-03-31,11.13,$4.42,2.52
2019-12-31,16.16,$4.43,3.64
2019-09-30,14.02,$4.51,3.11
2019-06-30,14.67,$2.46,5.96
2019-03-31,14.13,$2.37,5.96
2018-12-31,12.92,$1.92,6.72
2018-09-30,18.2,$1.75,10.41
2018-06-30,16.25,$3.47,4.68
2018-03-31,18.41,$3.29,5.6
2017-12-31,20.89,$3.68,5.68
2017-09-30,19.67,$3.65,5.39
2017-06-30,17.53,$4.13,4.25
2017-03-31,17.13,$4.38,3.91
2016-12-31,15.94,$4.35,3.66
2016-09-30,12.66,$4.38,2.89
2016-06-30,14.4,$4.05,3.56
2016-03-31,14.72,$4.01,3.67
2015-12-31,15.62,$3.83,4.08
2015-09-30,15.34,$3.92,3.91
2015-06-30,14.9,$3.65,4.09
2015-03-31,13.93,$3.35,4.16
2014-12-31,13.88,$0.56,24.81
2014-09-30,13.62,$0.46,29.48
2014-06-30,14.25,$0.42,33.73
2014-03-31,14.44,$0.45,32.45
2013-12-31,14.07,$3.10,4.54
2013-09-30,11.43,$2.48,4.61
2013-06-30,10.27,$2.70,3.81
2013-03-31,9.05,$2.46,3.67
2012-12-31,7.36,$2.26,3.26
2012-09-30,7.6,$2.53,3.01
2012-06-30,6.13,$2.19,2.8
2012-03-31,6.09,$2.31,2.64
2011-12-31,4.94,$2.55,1.94
2011-09-30,4.24,$2.57,1.65
2011-06-30,6.19,$2.46,2.52
2011-03-31,5.88,$2.32,2.54
2010-12-31,5.31,$2.43,2.18
2010-09-30,4.34,$2.62,1.65
2010-06-30,3.88,$2.85,1.36
2010-03-31,4.87,$3.12,1.56
2009-12-31,3.92,$3.16,1.24
