Modine Manufacturing Price to Free Cash Flow Ratio Historical Data,Modine Manufacturing Price to Free Cash Flow Ratio Historical Data,Modine Manufacturing Price to Free Cash Flow Ratio Historical Data,Modine Manufacturing Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,135.53,,71.75
2024-06-30,100.19,$1.89,53.04
2024-03-31,95.19,$2.14,44.55
2023-12-31,59.7,$2.92,20.47
2023-09-30,45.75,$2.06,22.25
2023-06-30,33.02,$1.51,21.94
2023-03-31,23.05,$1.08,21.31
2022-12-31,19.86,$0.52,38.46
2022-09-30,12.94,$0.78,16.49
2022-06-30,10.53,$-0.10,0.0
2022-03-31,9.01,$-0.69,0.0
2021-12-31,10.09,$-0.70,0.0
2021-09-30,11.33,$0.02,581.03
2021-06-30,16.59,$1.70,9.74
2021-03-31,14.77,$2.30,6.43
2020-12-31,12.56,$2.38,5.28
2020-09-30,6.25,$1.76,3.56
2020-06-30,5.52,$0.32,17.22
2020-03-31,3.25,$-0.14,0.0
2019-12-31,7.7,$0.29,26.41
2019-09-30,11.37,$0.13,86.33
2019-06-30,14.31,$0.71,20.07
2019-03-31,13.87,$0.58,23.96
2018-12-31,10.81,$0.20,52.76
2018-09-30,14.9,$0.32,46.9
2018-06-30,18.25,$0.55,33.21
2018-03-31,21.15,$1.05,20.12
2017-12-31,20.2,$0.81,25.06
2017-09-30,19.25,$0.66,29.28
2017-06-30,16.55,$-0.10,0.0
2017-03-31,12.2,$-0.35,0.0
2016-12-31,14.9,$-0.41,0.0
2016-09-30,11.86,$-0.08,0.0
2016-06-30,8.8,$0.27,32.01
2016-03-31,11.01,$0.21,52.08
2015-12-31,9.05,$0.55,16.4
2015-09-30,7.87,$0.38,20.77
2015-06-30,10.73,$-1.21,0.0
2015-03-31,13.47,$-0.87,0.0
2014-12-31,13.6,$-0.38,0.0
2014-09-30,11.87,$-0.24,0.0
2014-03-31,14.65,$1.14,12.84
2013-12-31,12.82,$1.33,9.62
2013-09-30,14.63,$0.57,25.81
2013-06-30,10.88,$0.14,75.71
2013-03-31,9.1,$0.30,30.08
2014-06-30,15.74,$-0.04,0.0
2012-12-31,8.13,$0.38,21.68
2012-09-30,7.38,$0.39,18.98
2012-06-30,6.93,$0.03,206.25
2012-03-31,8.83,$-0.37,0.0
2011-12-31,9.46,$-0.88,0.0
2011-09-30,9.06,$-0.68,0.0
2011-06-30,15.37,$-0.71,0.0
2011-03-31,16.14,$-0.73,0.0
2010-12-31,15.5,$-0.26,0.0
2010-09-30,12.97,$0.15,84.83
2010-06-30,7.68,$0.46,16.53
2010-03-31,11.24,$0.53,21.23
2009-12-31,11.84,$0.59,19.95
