Equinor Price to Free Cash Flow Ratio Historical Data,Equinor Price to Free Cash Flow Ratio Historical Data,Equinor Price to Free Cash Flow Ratio Historical Data,Equinor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.32,,9.33
2024-06-30,28.56,$2.61,10.96
2024-03-31,27.03,$2.79,9.69
2023-12-31,31.64,$4.67,6.78
2023-09-30,32.79,$5.12,6.4
2023-06-30,29.21,$5.96,4.9
2023-03-31,28.43,$8.16,3.48
2022-12-31,35.81,$8.29,4.32
2022-09-30,33.11,$9.27,3.57
2022-06-30,34.48,$9.91,3.48
2022-03-31,36.87,$9.06,4.07
2021-12-31,25.78,$6.35,4.06
2021-09-30,24.84,$5.07,4.9
2021-06-30,20.54,$2.91,7.06
2021-03-31,18.78,$1.30,14.46
2020-12-31,15.78,$0.58,27.07
2020-09-30,13.45,$-0.15,0.0
2020-06-30,13.8,$0.54,25.56
2020-03-31,11.28,$0.95,11.91
2019-12-31,18.23,$1.06,17.14
2019-09-30,17.12,$2.40,7.13
2019-06-30,17.67,$2.47,7.15
2019-03-31,19.45,$2.59,7.52
2018-12-31,18.6,$3.03,6.14
2018-09-30,24.61,$2.09,11.76
2018-06-30,22.89,$1.11,20.56
2018-03-31,20.5,$1.62,12.69
2017-12-31,18.57,$1.35,13.71
2017-09-30,17.41,$1.43,12.22
2017-06-30,14.33,$1.67,8.57
2017-03-31,14.89,$0.55,26.89
2016-12-31,15.81,$-0.75,0.0
2016-09-30,14.56,$-0.65,0.0
2016-06-30,15.0,$0.51,29.15
2016-03-31,13.49,$0.34,39.3
2015-12-31,12.1,$0.61,19.68
2015-09-30,12.62,$1.00,12.58
2015-06-30,15.52,$-0.39,0.0
2015-03-31,15.25,$-0.10,0.0
2014-12-31,15.26,$1.32,11.53
2014-09-30,23.54,$1.25,18.8
2014-06-30,26.72,$2.48,10.76
2014-03-31,24.46,$1.71,14.35
2013-12-31,20.92,$0.81,25.92
2013-09-30,19.66,$2.76,7.13
2013-06-30,17.93,$0.13,132.95
2013-03-31,20.54,$2.68,7.66
2012-12-31,20.89,$2.46,8.51
2012-09-30,21.52,$0.51,42.22
2012-06-30,19.91,$1.93,10.3
2012-03-31,21.78,$2.97,7.32
2011-12-31,20.57,$2.76,7.46
2011-09-30,17.31,$2.33,7.44
2011-06-30,20.44,$2.30,8.89
2011-03-31,21.37,$0.31,69.01
2010-12-31,18.37,$0.63,29.21
2010-09-30,16.22,$0.65,24.77
2010-06-30,14.8,$0.91,16.23
2010-03-31,17.35,$1.26,13.73
2009-12-31,18.52,$0.29,63.01
