MDU Resources Price to Free Cash Flow Ratio Historical Data,MDU Resources Price to Free Cash Flow Ratio Historical Data,MDU Resources Price to Free Cash Flow Ratio Historical Data,MDU Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.12,,140.41
2024-06-30,25.1,$0.21,121.02
2024-03-31,25.2,$0.11,221.83
2023-12-31,19.8,$-0.84,0.0
2023-09-30,19.58,$-0.39,0.0
2023-06-30,20.94,$-0.08,0.0
2023-03-31,30.48,$-0.37,0.0
2022-12-31,30.34,$0.21,143.66
2022-09-30,27.35,$0.07,385.75
2022-06-30,26.8,$0.01,0.0
2022-03-31,26.25,$0.04,698.14
2021-12-31,30.12,$0.12,242.35
2021-09-30,28.76,$0.53,54.51
2021-06-30,30.18,$0.72,42.04
2021-03-31,30.25,$1.43,21.2
2020-12-31,25.03,$1.23,20.42
2020-09-30,21.2,$1.40,15.18
2020-06-30,20.72,$1.65,12.54
2020-03-31,19.9,$0.38,52.97
2019-12-31,27.29,$-0.02,0.0
2019-09-30,25.71,$-1.10,0.0
2019-06-30,23.36,$-1.58,0.0
2019-03-31,23.2,$-0.89,0.0
2018-12-31,21.25,$-0.22,0.0
2018-09-30,22.72,$0.24,95.38
2018-06-30,25.18,$0.48,52.63
2018-03-31,24.55,$0.52,47.14
2017-12-31,23.26,$1.19,19.52
2017-09-30,22.29,$1.53,14.56
2017-06-30,22.35,$1.72,13.0
2017-03-31,23.18,$1.58,14.64
2016-12-31,24.19,$0.61,39.81
2016-09-30,21.25,$0.64,32.99
2016-06-30,19.89,$0.65,30.78
2016-03-31,16.0,$0.68,23.57
2015-12-31,14.91,$0.92,16.19
2015-09-30,13.85,$0.86,16.02
2015-06-30,15.55,$0.62,25.22
2015-03-31,16.84,$1.11,15.21
2014-12-31,18.38,$0.97,18.97
2014-09-30,21.58,$2.66,8.1
2014-06-30,27.08,$2.43,11.17
2014-03-31,26.33,$1.37,19.21
2013-12-31,23.32,$1.39,16.77
2013-09-30,21.22,$-0.83,0.0
2013-06-30,19.53,$-1.27,0.0
2013-03-31,18.71,$-1.33,0.0
2012-12-31,15.79,$-1.31,0.0
2012-09-30,16.26,$-1.03,0.0
2012-06-30,15.82,$-0.32,0.0
2012-03-31,16.27,$0.48,34.05
2011-12-31,15.48,$0.90,17.22
2011-09-30,13.73,$0.80,17.22
2011-06-30,15.97,$0.90,17.69
2011-03-31,16.18,$1.00,16.26
2010-12-31,14.18,$0.54,26.07
2010-09-30,13.84,$0.91,15.18
2010-06-30,12.41,$1.45,8.54
2010-03-31,14.72,$1.52,9.71
2009-12-31,15.99,$2.29,6.97
