Smith & Nephew SNATS Price to Free Cash Flow Ratio Historical Data,Smith & Nephew SNATS Price to Free Cash Flow Ratio Historical Data,Smith & Nephew SNATS Price to Free Cash Flow Ratio Historical Data,Smith & Nephew SNATS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.35,,inf
2023-12-31,26.52,0,0.0
2023-06-30,30.97,0,0.0
2019-12-31,42.42,0,0.0
2019-06-30,38.18,0,0.0
2018-12-31,32.42,0,0.0
2018-06-30,32.3,0,0.0
2017-12-31,29.77,0,0.0
2017-06-30,29.44,$-0.69,0.0
2016-12-31,25.11,$-0.28,0.0
2015-12-31,29.16,0,0.0
2015-06-30,27.62,$-0.52,0.0
2014-12-31,29.57,$0.63,47.16
2014-09-30,26.92,$0.28,96.93
2022-12-31,25.4,$0.44,57.91
2014-06-30,28.55,$1.24,23.04
2014-03-31,24.17,$0.93,26.09
2013-12-31,22.67,$1.17,19.36
2013-09-30,19.56,$2.15,9.1
2013-06-30,17.58,$0.60,29.11
2013-03-31,17.84,$1.12,15.93
2012-12-31,17.12,$1.20,14.23
2022-06-30,26.04,0,0.0
2012-09-30,16.87,$1.50,11.22
2012-06-30,15.3,$1.15,13.3
2012-03-31,15.3,$1.07,14.28
2011-12-31,14.58,$1.17,12.48
2011-09-30,13.44,$-0.31,0.0
2011-06-30,16.29,$-0.26,0.0
2011-03-31,16.82,$-0.25,0.0
2021-12-31,31.83,$-0.30,0.0
2010-12-31,15.67,$1.24,12.6
2010-09-30,13.45,$1.30,10.35
2010-06-30,13.93,$1.33,10.5
2010-03-31,14.71,$1.21,12.21
2009-12-31,15.06,$0.79,19.08
2009-09-30,13.15,$0.49,26.87
2009-06-30,10.88,$0.14,75.26
2021-06-30,39.61,0,0.0
