California Resources Price to Free Cash Flow Ratio Historical Data,California Resources Price to Free Cash Flow Ratio Historical Data,California Resources Price to Free Cash Flow Ratio Historical Data,California Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,52.32,,16.3
2024-06-30,53.22,$3.21,16.58
2024-03-31,55.1,$3.36,16.42
2023-12-31,54.68,$6.46,8.47
2023-09-30,56.01,$6.31,8.88
2023-06-30,45.29,$6.80,6.66
2023-03-31,38.5,$6.81,5.65
2022-12-31,43.51,$4.01,10.86
2022-09-30,38.43,$5.20,7.39
2022-06-30,38.37,$5.07,7.57
2022-03-31,44.41,$4.95,8.97
2021-12-31,42.23,$5.61,7.52
2021-09-30,40.37,$4.69,8.61
