Woodward Price to Free Cash Flow Ratio Historical Data,Woodward Price to Free Cash Flow Ratio Historical Data,Woodward Price to Free Cash Flow Ratio Historical Data,Woodward Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,165.44,,28.63
2024-06-30,174.11,$5.78,30.13
2024-03-31,153.67,$5.25,29.26
2023-12-31,135.48,$4.17,32.46
2023-09-30,123.46,$3.78,32.64
2023-06-30,117.94,$3.05,38.73
2023-03-31,96.39,$1.76,54.64
2022-12-31,95.43,$1.51,63.09
2022-09-30,79.13,$2.23,35.54
2022-06-30,91.02,$2.80,32.48
2022-03-31,122.68,$3.78,32.43
2021-12-31,107.34,$4.77,22.51
2021-09-30,110.85,$6.52,17.01
2021-06-30,120.16,$6.65,18.07
2021-03-31,117.81,$7.67,15.36
2020-12-31,118.52,$6.88,17.22
2020-09-30,78.11,$5.18,15.08
2020-06-30,75.5,$5.37,14.07
2020-03-31,57.78,$3.84,15.07
2019-12-31,114.86,$4.15,27.69
2019-09-30,104.42,$4.54,23.02
2019-06-30,109.42,$4.93,22.18
2019-03-31,91.61,$4.56,20.11
2018-12-31,71.6,$3.56,20.1
2018-09-30,77.8,$4.24,18.34
2018-03-31,68.7,$2.01,34.15
2017-12-31,73.23,$2.41,30.34
2017-09-30,74.14,$3.45,21.51
2017-06-30,64.44,$2.33,27.71
2017-03-31,64.64,$1.42,45.39
2016-12-31,65.6,$4.65,14.12
2016-09-30,59.26,$4.19,14.14
2016-06-30,54.56,$3.73,14.62
2016-03-31,49.15,$4.50,10.91
2015-12-31,46.81,$0.27,170.45
2015-09-30,38.28,$-0.01,0.0
2015-03-31,47.78,$0.42,115.13
2014-12-31,46.02,$0.76,60.28
2014-09-30,44.44,$1.00,44.46
2014-06-30,46.76,$1.57,29.87
2014-03-31,38.63,$1.34,28.86
2013-12-31,42.35,$1.13,37.44
2013-09-30,37.83,$1.17,32.34
2013-06-30,36.99,$1.64,22.54
2013-03-31,36.69,$2.05,17.93
2012-12-31,35.11,$1.49,23.62
2012-09-30,31.22,$1.13,27.61
2012-06-30,36.16,$1.02,35.29
2012-03-31,39.18,$0.69,56.78
2011-12-31,37.38,$0.78,47.97
2011-09-30,24.98,$0.95,26.37
2011-06-30,31.7,$0.40,78.79
2011-03-31,31.37,$0.64,48.94
2010-12-31,34.02,$1.45,23.47
2010-09-30,29.31,$2.24,13.06
2010-06-30,23.03,$3.56,6.47
2010-03-31,28.8,$4.07,7.08
2009-12-31,23.15,$4.00,5.79
2009-09-30,21.74,$1.84,11.81
2009-06-30,17.69,$1.48,11.95
