Pampa Energia S.A Price to Free Cash Flow Ratio Historical Data,Pampa Energia S.A Price to Free Cash Flow Ratio Historical Data,Pampa Energia S.A Price to Free Cash Flow Ratio Historical Data,Pampa Energia S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,67.85,,0.0
2024-06-30,44.26,$-6.32,0.0
2024-03-31,43.14,$-4.59,0.0
2023-12-31,49.52,$-3.33,0.0
2023-09-30,37.36,$1.53,24.37
2023-06-30,43.32,$2.56,16.94
2023-03-31,32.98,$2.58,12.76
2022-12-31,31.94,$3.67,8.69
2022-09-30,22.77,$3.37,6.75
2022-06-30,20.48,$5.41,3.79
2022-03-31,23.63,$7.57,3.12
2021-12-31,21.11,$9.31,2.27
2021-09-30,17.47,$12.42,1.41
2021-06-30,15.17,$12.26,1.24
2021-03-31,14.84,$10.75,1.38
2020-12-31,13.78,$9.79,1.41
2020-09-30,10.33,$10.38,1.0
2020-06-30,10.49,$7.85,1.34
2020-03-31,11.3,$7.39,1.53
2019-12-31,16.43,$6.16,2.67
2019-09-30,17.36,$6.31,2.75
2019-06-30,34.67,$5.41,6.41
2019-03-31,27.57,$3.97,6.95
2018-12-31,31.81,$4.82,6.59
2018-09-30,31.05,$1.81,17.19
2018-06-30,35.77,$3.44,10.41
2018-03-31,59.6,$3.38,17.62
2017-12-31,67.28,$-0.01,0.0
2017-09-30,65.1,$-0.78,0.0
2017-06-30,58.85,$-2.78,0.0
2017-03-31,54.22,$-1.54,0.0
2016-12-31,34.81,$-0.03,0.0
2016-09-30,32.4,$-1.99,0.0
2016-06-30,27.34,$-1.41,0.0
2016-03-31,21.44,$-2.44,0.0
2015-12-31,20.55,$-0.37,0.0
2015-09-30,15.27,$-0.04,0.0
2015-06-30,13.81,$0.62,22.35
2015-03-31,17.67,$1.53,11.58
2014-12-31,10.02,$0.60,16.75
2014-09-30,10.75,$1.88,5.72
2014-06-30,9.8,$2.87,3.42
2014-03-31,5.83,$2.41,2.42
2013-12-31,5.24,$2.10,2.5
2013-09-30,5.0,$0.07,66.84
2013-06-30,3.24,$0.53,6.12
2013-03-31,4.02,$2.18,1.84
2012-12-31,3.44,$2.45,1.4
2012-09-30,3.69,$2.83,1.3
2012-06-30,4.15,$0.58,7.13
2012-03-31,8.6,$-0.67,0.0
2011-12-31,10.68,$-0.60,0.0
2011-09-30,11.47,$0.37,30.84
2011-06-30,15.24,$1.10,13.9
2011-03-31,14.08,$1.01,13.97
2010-12-31,16.8,$0.44,37.76
2010-09-30,11.35,$0.06,194.4
