Kemper Price to Free Cash Flow Ratio Historical Data,Kemper Price to Free Cash Flow Ratio Historical Data,Kemper Price to Free Cash Flow Ratio Historical Data,Kemper Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,64.4,,0.0
2024-06-30,59.04,$-0.05,0.0
2024-03-31,61.3,$-1.51,0.0
2023-12-31,47.94,$-2.10,0.0
2023-09-30,41.08,$-2.26,0.0
2023-06-30,46.86,$-2.91,0.0
2023-03-31,52.71,$-2.93,0.0
2022-12-31,47.21,$-3.29,0.0
2022-09-30,39.36,$-2.00,0.0
2022-06-30,45.4,$5.31,8.55
2022-03-31,53.24,$3.10,17.19
2021-12-31,55.02,$5.49,10.01
2021-09-30,62.2,$7.78,8.0
2021-06-30,68.5,$1.49,45.85
2021-03-31,73.6,$7.90,9.32
2020-12-31,70.65,$6.71,10.52
2020-09-30,61.19,$7.17,8.54
2020-06-30,66.15,$8.92,7.42
2020-03-31,67.49,$7.61,8.87
2019-12-31,70.07,$8.03,8.73
2019-09-30,70.21,$8.54,8.22
2019-06-30,77.47,$8.61,9.0
2019-03-31,68.16,$9.11,7.48
2018-12-31,59.24,$9.18,6.45
2018-09-30,71.57,$6.71,10.66
2018-06-30,67.09,$6.29,10.67
2018-03-31,50.39,$5.11,9.87
2017-12-31,60.66,$4.64,13.09
2017-09-30,46.49,$4.55,10.22
2017-06-30,33.7,$4.43,7.6
2017-03-31,34.61,$4.13,8.38
2016-12-31,38.22,$4.70,8.14
2016-09-30,33.71,$4.22,7.99
2016-06-30,26.39,$4.85,5.44
2016-03-31,25.0,$5.08,4.93
2015-12-31,31.17,$4.13,7.56
2015-09-30,29.42,$3.80,7.75
2015-06-30,31.87,$2.67,11.92
2015-03-31,31.99,$2.33,13.73
2014-12-31,29.46,$2.44,12.07
2014-09-30,27.68,$2.29,12.09
2014-06-30,29.68,$2.04,14.52
2014-03-31,31.32,$1.32,23.7
2013-12-31,32.48,$2.05,15.86
2013-09-30,26.53,$0.96,27.6
2013-06-30,26.86,$1.39,19.26
2013-03-31,25.39,$1.49,17.04
2012-12-31,22.79,$1.02,22.34
2012-09-30,23.53,$1.35,17.42
2012-06-30,23.38,$0.08,282.35
2012-03-31,22.84,$-0.80,0.0
2011-12-31,21.85,$-0.52,0.0
2011-09-30,17.76,$-0.23,0.0
2011-06-30,21.78,$0.83,26.33
2011-03-31,22.48,$2.09,10.77
2010-12-31,17.72,$1.21,14.67
2010-09-30,17.45,$2.10,8.31
2010-03-31,19.73,$2.47,7.99
2009-12-31,15.36,$2.49,6.18
2009-09-30,13.46,$2.94,4.57
