Civitas Resources Price to Free Cash Flow Ratio Historical Data,Civitas Resources Price to Free Cash Flow Ratio Historical Data,Civitas Resources Price to Free Cash Flow Ratio Historical Data,Civitas Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.44,,6.45
2024-06-30,67.06,$7.97,8.41
2024-03-31,72.17,$9.53,7.57
2023-12-31,63.7,$9.43,6.76
2023-09-30,73.64,$-28.81,0.0
2023-06-30,61.88,$14.70,4.21
2023-03-31,59.11,$20.05,2.95
2022-12-31,48.49,$16.52,2.93
2022-09-30,46.43,$11.34,4.1
2022-06-30,41.2,$8.27,4.98
2022-03-31,46.18,$2.32,19.9
2021-12-31,37.08,$3.32,11.15
2021-09-30,35.96,$4.77,7.54
2021-06-30,35.05,$4.47,7.84
2021-03-31,26.42,$4.19,6.3
2020-12-31,14.29,$4.54,3.15
2020-09-30,13.9,$2.71,5.13
2020-06-30,10.96,$0.16,68.22
2020-03-31,8.32,$-0.69,0.0
2019-12-31,17.26,$-1.48,0.0
2019-09-30,16.55,$-4.46,0.0
2019-06-30,15.44,$-0.70,0.0
2019-03-31,16.78,$-1.01,0.0
2018-12-31,15.28,$-2.32,0.0
2018-09-30,22.02,$2.46,8.94
2018-06-30,28.0,$-1.65,0.0
2018-03-31,20.49,$-2.44,0.0
2017-12-31,20.4,$-1.13,0.0
2017-09-30,24.39,$-3.47,0.0
2017-06-30,23.44,$-2.15,0.0
2017-03-31,95.7,$-0.36,0.0
2016-12-31,84.15,$-0.78,0.0
2016-09-30,84.15,$462.29,0.18
2016-06-30,165.83,$446.94,0.37
2016-03-31,131.18,$246.94,0.53
2015-12-31,434.78,$-4.58,0.0
2015-09-30,335.78,$-838.22,0.0
2015-06-30,1505.64,"$-1,456.32",0.0
2015-03-31,2034.47,"$-1,472.38",0.0
2014-12-31,1980.02,"$-1,340.46",0.0
2014-09-30,4694.29,$-969.97,0.0
2014-06-30,4718.22,$-473.15,0.0
2014-03-31,3663.03,$-418.43,0.0
2013-12-31,3586.31,$-384.84,0.0
2013-09-30,3981.49,$-487.52,0.0
2013-06-30,2925.48,$-514.55,0.0
2013-03-31,3190.3,$-461.46,0.0
2012-12-31,2292.7,$-423.43,0.0
2012-09-30,1943.72,$-958.16,0.0
