Axalta Coating Systems Price to Free Cash Flow Ratio Historical Data,Axalta Coating Systems Price to Free Cash Flow Ratio Historical Data,Axalta Coating Systems Price to Free Cash Flow Ratio Historical Data,Axalta Coating Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.51,,15.12
2024-06-30,34.17,$2.42,14.15
2024-03-31,34.39,$2.45,14.04
2023-12-31,33.97,$1.97,17.23
2023-09-30,26.9,$1.74,15.46
2023-06-30,32.81,$1.13,28.94
2023-03-31,30.29,$0.60,50.21
2022-12-31,25.47,$0.64,39.62
2022-09-30,21.06,$0.79,26.76
2022-06-30,22.11,$1.04,21.17
2022-03-31,24.58,$1.47,16.75
2021-12-31,33.12,$1.88,17.58
2021-09-30,29.19,$1.90,15.37
2021-06-30,30.49,$2.37,12.85
2021-03-31,29.58,$1.94,15.22
2020-12-31,28.55,$1.81,15.77
2020-09-30,22.17,$1.78,12.48
2020-06-30,22.55,$1.67,13.5
2020-03-31,17.27,$2.19,7.9
2019-12-31,30.4,$1.95,15.56
2019-09-30,30.15,$1.80,16.76
2019-06-30,29.77,$1.35,21.99
2019-03-31,25.21,$1.37,18.45
2018-12-31,23.42,$1.45,16.13
2018-09-30,29.16,$1.36,21.37
2018-06-30,30.31,$1.72,17.58
2018-03-31,30.19,$1.59,18.98
2017-12-31,32.36,$1.69,19.19
2017-09-30,28.92,$1.63,17.7
2017-06-30,32.04,$1.39,23.09
2017-03-31,32.2,$1.80,17.88
2016-12-31,27.2,$1.73,15.71
2016-09-30,28.27,$1.83,15.43
2016-06-30,26.53,$1.85,14.33
2016-03-31,29.2,$1.46,19.96
2015-12-31,26.65,$1.13,23.51
2015-09-30,25.34,$0.56,44.91
