DENTSPLY SIRONA Price to Free Cash Flow Ratio Historical Data,DENTSPLY SIRONA Price to Free Cash Flow Ratio Historical Data,DENTSPLY SIRONA Price to Free Cash Flow Ratio Historical Data,DENTSPLY SIRONA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.39,,13.76
2024-06-30,24.76,$1.77,13.98
2024-03-31,32.78,$1.35,24.37
2023-12-31,34.99,$1.11,31.56
2023-09-30,33.45,$1.02,32.89
2023-06-30,39.03,$0.92,42.49
2023-03-31,38.17,$1.20,31.73
2022-12-31,30.83,$1.71,18.05
2022-09-30,27.34,$2.02,13.51
2022-06-30,34.31,$2.28,15.03
2022-03-31,47.11,$2.48,19.01
2021-12-31,53.26,$2.34,22.77
2021-09-30,55.31,$2.60,21.31
2021-06-30,60.16,$2.88,20.85
2021-03-31,60.58,$2.81,21.57
2020-12-31,49.63,$2.56,19.36
2020-09-30,41.37,$2.67,15.51
2020-06-30,41.58,$2.38,17.46
2020-03-31,36.56,$2.16,16.92
2019-12-31,53.15,$2.30,23.11
2019-09-30,49.98,$1.79,27.85
2019-06-30,54.61,$1.53,35.75
2019-03-31,46.33,$1.34,34.65
2018-12-31,34.71,$1.45,23.88
2018-09-30,35.12,$1.62,21.74
2018-06-30,40.63,$1.81,22.43
2018-03-31,46.61,$1.90,24.57
2017-12-31,60.89,$2.03,30.04
2017-09-30,55.24,$2.06,26.85
2017-06-30,59.8,$2.03,29.5
2017-03-31,57.51,$2.34,24.6
2016-12-31,53.1,$2.00,26.54
2016-09-30,54.59,$1.87,29.14
2016-06-30,56.91,$2.35,24.25
2016-03-31,56.47,$2.53,22.31
2015-12-31,55.68,$2.99,18.64
2015-09-30,46.22,$3.40,13.6
2015-06-30,47.05,$3.26,14.43
2015-03-31,46.39,$3.27,14.17
2014-12-31,48.49,$3.20,15.15
2014-09-30,41.45,$2.96,14.01
2014-06-30,42.98,$2.80,15.38
2014-03-31,41.74,$2.39,17.45
2013-12-31,43.88,$2.21,19.85
2013-09-30,39.25,$2.28,17.24
2013-06-30,36.98,$2.12,17.45
2013-03-31,38.25,$2.02,18.97
2012-12-31,35.65,$1.94,18.42
2012-09-30,34.28,$1.74,19.68
2012-06-30,33.93,$1.69,20.13
2012-03-31,35.96,$2.03,17.72
2011-12-31,31.31,$2.25,13.93
2011-09-30,27.42,$2.20,12.49
2011-06-30,33.97,$2.40,14.18
2011-03-31,32.95,$2.34,14.06
2010-12-31,30.4,$2.31,13.18
2010-09-30,28.4,$2.30,12.36
2010-06-30,26.53,$2.37,11.21
2010-03-31,30.89,$2.29,13.47
2009-12-31,31.1,$2.08,14.97
