HudBay Minerals Inc Price to Free Cash Flow Ratio Historical Data,HudBay Minerals Inc Price to Free Cash Flow Ratio Historical Data,HudBay Minerals Inc Price to Free Cash Flow Ratio Historical Data,HudBay Minerals Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.21,,8.36
2024-06-30,9.04,$1.10,8.21
2024-03-31,6.99,$0.83,8.44
2023-12-31,5.51,$0.63,8.71
2023-09-30,4.86,$0.13,37.54
2023-06-30,4.78,$0.20,24.29
2023-03-31,5.23,$0.68,7.7
2022-12-31,5.04,$0.70,7.23
2022-09-30,4.01,$0.69,5.84
2022-06-30,4.05,$0.64,6.37
2022-03-31,7.79,$0.29,27.1
2021-12-31,7.19,$0.13,57.16
2021-09-30,6.18,$0.16,38.76
2021-06-30,6.6,$-0.38,0.0
2021-03-31,6.8,$-0.42,0.0
2020-12-31,6.93,$-0.47,0.0
2020-09-30,4.18,$-0.44,0.0
2020-06-30,2.99,$-0.32,0.0
2020-03-31,1.88,$-0.04,0.0
2019-12-31,4.08,$0.20,20.65
2019-09-30,3.55,$0.47,7.63
2019-06-30,5.31,$0.85,6.22
2019-03-31,7.01,$0.85,8.21
2018-12-31,4.63,$1.10,4.19
2018-09-30,4.95,$0.95,5.24
2018-06-30,5.48,$1.11,4.94
2018-03-31,6.95,$1.22,5.69
2017-12-31,8.6,$1.19,7.23
2017-09-30,7.28,$1.45,5.01
2017-06-30,5.62,$1.23,4.58
2017-03-31,6.4,$1.26,5.09
2016-12-31,5.56,$1.20,4.65
2016-09-30,3.86,$0.67,5.8
2016-06-30,4.66,$0.37,12.68
2016-03-31,3.58,$-1.07,0.0
2015-12-31,3.71,$-1.30,0.0
2015-09-30,3.58,$-1.88,0.0
2015-06-30,8.08,$-2.10,0.0
2015-03-31,7.94,$-2.22,0.0
2014-12-31,8.42,$-2.66,0.0
2014-09-30,8.3,$-2.87,0.0
2014-06-30,9.0,$-3.59,0.0
2014-03-31,7.55,$-3.02,0.0
2013-12-31,7.92,$-3.83,0.0
2013-09-30,7.96,$-3.84,0.0
2013-06-30,6.38,$-0.75,0.0
2013-03-31,9.28,$-0.45,0.0
2012-12-31,9.63,$0.19,50.64
2012-09-30,9.42,$1.26,7.46
2012-06-30,7.29,$0.36,20.14
2012-03-31,10.37,$0.35,29.98
2011-12-31,9.34,$1.01,9.24
2011-09-30,8.96,$1.33,6.75
2011-03-31,15.18,$0.20,77.56
2010-12-31,16.88,$0.53,31.96
2010-09-30,13.07,$0.59,22.14
2010-06-30,9.72,0,0.0
