Aramark Price to Free Cash Flow Ratio Historical Data,Aramark Price to Free Cash Flow Ratio Historical Data,Aramark Price to Free Cash Flow Ratio Historical Data,Aramark Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,39.02,,23.45
2024-06-30,33.93,$1.66,20.39
2024-03-31,32.34,$0.91,35.73
2023-12-31,27.86,$1.05,26.57
2023-09-30,34.29,$1.27,26.94
2023-06-30,42.41,$0.25,167.04
2023-03-31,35.17,$0.40,88.18
2022-12-31,40.49,$0.80,50.91
2022-09-30,30.47,$1.27,23.94
2022-06-30,29.83,$-0.35,0.0
2022-03-31,36.5,$0.69,52.86
2021-12-31,35.67,$-1.10,0.0
2021-09-30,31.71,$1.68,18.85
2021-06-30,35.83,$0.39,91.6
2020-12-31,36.79,$0.14,266.98
2020-09-30,25.21,$-0.75,0.0
2020-06-30,21.41,$0.35,61.52
2020-03-31,18.86,$1.29,14.67
2019-12-31,40.89,$0.92,44.4
2019-09-30,40.95,$3.23,12.68
2021-03-31,36.23,$0.31,116.56
2019-06-30,33.79,$2.34,14.44
2019-03-31,27.59,$2.06,13.42
2018-12-31,26.95,$2.16,12.46
2018-09-30,39.91,$1.71,23.31
2018-06-30,34.33,$0.46,74.61
2018-03-31,36.5,$0.32,114.78
2017-12-31,39.33,$0.88,44.63
2017-09-30,37.28,$2.06,18.07
2017-06-30,37.52,$1.71,21.91
2017-03-31,33.66,$2.33,14.45
2016-12-31,32.52,$2.06,15.8
2016-09-30,34.52,$1.53,22.5
2016-06-30,30.26,$2.28,13.26
2016-03-31,29.9,$1.85,16.14
2015-12-31,29.03,$1.67,17.37
2015-09-30,26.6,$1.20,22.09
2015-06-30,27.72,$0.08,336.82
2015-03-31,28.23,$0.10,274.65
2014-12-31,27.73,$-0.35,0.0
2014-09-30,23.34,$-0.50,0.0
