Transocean Price to Free Cash Flow Ratio Historical Data,Transocean Price to Free Cash Flow Ratio Historical Data,Transocean Price to Free Cash Flow Ratio Historical Data,Transocean Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.26,,0.0
2024-06-30,5.35,$-0.41,0.0
2024-03-31,6.28,$-0.29,0.0
2023-12-31,6.35,$-0.33,0.0
2023-09-30,8.21,$-0.50,0.0
2023-06-30,7.01,$-0.18,0.0
2023-03-31,6.36,$-0.39,0.0
2022-12-31,4.56,$-0.37,0.0
2022-09-30,2.47,$0.14,17.27
2022-06-30,3.33,$0.08,39.98
2022-03-31,4.57,$0.36,12.66
2021-12-31,2.76,$0.59,4.68
2021-09-30,3.79,$0.77,4.9
2021-06-30,4.52,$0.69,6.58
2021-03-31,3.55,$0.58,6.17
2020-12-31,2.31,$0.26,9.05
2020-09-30,0.81,$-0.06,0.0
2020-06-30,1.83,$-0.15,0.0
2020-03-31,1.16,$-0.06,0.0
2019-12-31,6.88,$0.04,182.98
2019-09-30,4.47,$0.40,11.19
2019-06-30,6.41,$0.82,7.84
2019-03-31,8.71,$0.60,14.56
2018-12-31,6.94,$0.89,7.79
2018-09-30,13.95,$0.86,16.22
2018-06-30,13.44,$1.12,11.96
2018-03-31,9.9,$2.60,3.81
2017-12-31,10.68,$2.62,4.08
2017-09-30,10.76,$3.43,3.14
2017-06-30,8.23,$3.31,2.48
2017-03-31,12.45,$1.24,10.02
2016-12-31,14.74,$1.81,8.12
2016-09-30,10.66,$1.48,7.21
2016-06-30,11.89,$0.14,84.87
2016-03-31,9.14,$3.94,2.32
2015-12-31,12.38,$4.13,3.0
2015-09-30,12.92,$3.97,3.25
2015-06-30,15.93,$6.59,2.42
2015-03-31,14.5,$4.27,3.4
2014-12-31,17.38,$0.84,20.63
2014-09-30,29.5,$0.21,143.84
2014-06-30,40.76,$-0.65,0.0
2014-03-31,36.77,$-1.28,0.0
2013-12-31,43.95,$0.16,272.83
2013-09-30,39.18,$0.78,50.53
2013-06-30,41.71,$1.87,22.36
2013-03-31,44.72,$2.31,19.38
2012-12-31,38.43,$4.19,9.18
2012-09-30,38.63,$4.23,9.14
2012-06-30,38.49,$3.28,11.75
2012-03-31,47.07,$2.81,16.75
2011-12-31,32.51,$2.50,13.01
2011-09-30,39.74,$2.63,15.14
2011-06-30,52.93,$2.83,18.68
2011-03-31,63.18,$5.75,10.99
2010-12-31,56.34,$7.86,7.17
2010-09-30,52.11,$8.01,6.5
2010-06-30,37.55,$9.39,4.0
2010-03-31,70.01,$8.27,8.46
2009-12-31,67.11,$7.97,8.42
