Impinj Price to Free Cash Flow Ratio Historical Data,Impinj Price to Free Cash Flow Ratio Historical Data,Impinj Price to Free Cash Flow Ratio Historical Data,Impinj Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,229.76,,73.34
2024-06-30,156.77,$3.13,50.04
2024-03-31,128.41,$0.48,265.75
2023-12-31,90.03,$-2.53,0.0
2023-09-30,55.03,$-2.94,0.0
2023-06-30,89.65,$-2.32,0.0
2023-03-31,135.52,$-1.02,0.0
2022-12-31,109.18,$-0.44,0.0
2022-09-30,80.03,$-0.22,0.0
2022-06-30,58.67,$-0.73,0.0
2022-03-31,63.54,$-1.33,0.0
2021-12-31,88.7,$-0.40,0.0
2021-09-30,57.13,$-0.34,0.0
2021-06-30,51.59,$-1.06,0.0
2021-03-31,56.87,$-0.70,0.0
2020-12-31,41.87,$-0.87,0.0
2020-09-30,26.35,$-0.55,0.0
2020-06-30,27.47,$0.13,218.88
2020-03-31,16.71,$0.19,90.28
2019-12-31,25.86,$0.10,247.94
2019-09-30,30.83,$0.04,811.32
2019-06-30,28.62,$0.01,2326.83
2019-03-31,16.76,$-0.32,0.0
2018-12-31,14.55,$-0.85,0.0
2018-09-30,24.82,$-1.09,0.0
2018-06-30,22.11,$-1.56,0.0
2018-03-31,13.02,$-1.75,0.0
2017-12-31,22.53,$-2.05,0.0
2017-09-30,41.61,$-2.39,0.0
2017-06-30,48.65,$-2.51,0.0
