Donaldson Price to Free Cash Flow Ratio Historical Data,Donaldson Price to Free Cash Flow Ratio Historical Data,Donaldson Price to Free Cash Flow Ratio Historical Data,Donaldson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,74.72,,22.47
2024-07-31,74.54,$3.32,22.42
2024-04-30,71.66,$3.78,18.94
2024-01-31,63.87,$3.61,17.71
2023-10-31,56.79,$3.66,15.52
2023-07-31,61.64,$3.45,17.87
2023-04-30,62.08,$2.75,22.55
2023-01-31,60.69,$2.29,26.48
2022-10-31,55.71,$1.87,29.76
2022-07-31,52.55,$1.34,39.23
2022-04-30,47.15,$1.31,35.98
2022-01-31,53.3,$1.71,31.21
2021-10-31,57.25,$2.01,28.41
2021-07-31,62.94,$2.68,23.48
2021-04-30,59.58,$2.89,20.65
2021-01-31,56.13,$2.65,21.18
2020-10-31,44.68,$2.54,17.58
2020-07-31,45.29,$2.06,21.96
2020-04-30,40.88,$1.89,21.6
2020-01-31,48.17,$1.67,28.83
2019-10-31,48.81,$1.61,30.26
2019-07-31,46.02,$1.50,30.69
2019-04-30,49.12,$1.47,33.5
2019-01-31,43.21,$1.36,31.88
2018-10-31,46.68,$-0.37,0.0
2018-07-31,43.24,$-0.15,0.0
2018-04-30,39.97,$-0.43,0.0
2018-01-31,45.57,$-0.17,0.0
2017-07-31,42.4,$1.90,22.36
2017-04-30,41.16,$2.72,15.14
2017-01-31,37.42,$2.71,13.8
2016-10-31,32.22,$2.86,11.26
2016-07-31,31.72,$2.42,13.08
2017-10-31,42.31,$1.39,30.45
2016-04-30,28.55,$1.27,22.43
2016-01-31,24.47,$1.10,22.17
2015-10-31,26.08,$0.97,26.96
2015-07-31,28.87,$0.86,33.76
2015-04-30,31.96,$1.02,31.22
2015-01-31,31.13,$1.01,30.7
2014-10-31,35.25,$1.13,31.19
2014-07-31,32.75,$1.50,21.87
2014-04-30,35.39,$0.95,37.13
2014-01-31,34.58,$1.39,24.88
2013-10-31,33.09,$1.72,19.28
2013-07-31,30.17,$1.47,20.49
2013-04-30,30.17,$2.01,14.98
2013-01-31,31.11,$1.58,19.75
2012-10-31,26.62,$1.22,21.84
2012-07-31,28.08,$1.19,23.53
2012-04-30,28.45,$1.20,23.8
2012-01-31,29.61,$1.18,25.12
2011-10-31,26.17,$0.43,61.15
2011-07-31,22.56,$0.42,54.05
2011-04-30,24.87,$0.38,65.7
2011-01-31,23.75,$0.04,541.01
2010-07-31,19.14,$1.01,18.9
2010-04-30,18.62,$1.89,9.84
2010-01-31,15.33,$1.88,8.14
2009-10-31,14.26,$2.49,5.73
2009-07-31,15.15,$2.54,5.96
