Antero Midstream Price to Free Cash Flow Ratio Historical Data,Antero Midstream Price to Free Cash Flow Ratio Historical Data,Antero Midstream Price to Free Cash Flow Ratio Historical Data,Antero Midstream Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.14,,11.1
2024-06-30,14.74,$1.36,10.8
2024-03-31,14.06,$1.31,10.76
2023-12-31,12.53,$1.24,10.13
2023-09-30,11.98,$1.14,10.52
2023-06-30,11.6,$1.04,11.19
2023-03-31,10.49,$0.93,11.29
2022-12-31,10.79,$0.85,12.75
2022-09-30,9.18,$0.81,11.38
2022-06-30,8.85,$0.80,11.08
2022-03-31,10.39,$0.92,11.32
2021-12-31,9.04,$1.00,9.06
2021-09-30,9.53,$1.18,8.07
2021-06-30,9.29,$1.21,7.67
2021-03-31,7.88,$1.29,6.1
2020-12-31,6.47,$1.17,5.55
2020-09-30,4.29,$0.99,4.35
2020-06-30,3.86,$0.86,4.51
2020-03-31,1.49,$0.47,3.14
2019-12-31,5.07,$0.52,9.75
2019-09-30,4.72,$0.47,10.02
2019-06-30,7.1,$0.48,14.75
2019-03-31,7.59,$0.53,14.21
2018-12-31,6.68,$0.45,14.9
2018-09-30,10.02,$0.39,25.76
2018-06-30,11.1,$0.33,33.94
2018-03-31,9.35,$0.28,33.93
