Williams-Sonoma Price to Free Cash Flow Ratio Historical Data,Williams-Sonoma Price to Free Cash Flow Ratio Historical Data,Williams-Sonoma Price to Free Cash Flow Ratio Historical Data,Williams-Sonoma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,142.39,,11.54
2024-07-31,154.68,$12.33,12.54
2024-04-30,142.84,$12.86,11.11
2024-01-31,95.93,$13.86,6.92
2023-10-31,74.21,$10.07,7.37
2023-04-30,59.04,$6.47,9.13
2023-01-31,65.34,$5.06,12.92
2022-10-31,59.57,$5.29,11.25
2022-07-31,69.0,$4.93,13.98
2022-04-30,61.99,$5.68,10.91
2022-01-31,75.85,$6.24,12.15
2023-07-31,68.09,$4.82,14.12
2021-10-31,87.32,$7.46,11.7
2021-07-31,71.05,$8.70,8.17
2021-04-30,79.67,$8.17,9.75
2021-01-31,59.95,$6.99,8.57
2020-10-31,42.23,$6.65,6.35
2020-07-31,40.12,$4.20,9.56
2020-04-30,28.32,$3.57,7.93
2020-01-31,31.82,$2.66,11.97
2019-10-31,30.13,$1.89,15.91
2019-07-31,29.87,$1.51,19.78
2019-04-30,25.43,$1.70,14.94
2019-01-31,24.01,$2.40,9.99
2018-10-31,25.97,$2.25,11.55
2018-07-31,25.39,$2.32,10.97
2018-04-30,20.61,$2.11,9.77
2018-01-31,21.9,$1.80,12.16
2017-10-31,21.9,$1.72,12.72
2017-07-31,19.56,$1.80,10.85
2017-04-30,22.57,$-0.47,0.0
2017-01-31,19.99,$2.06,9.69
2016-10-31,19.02,$0.24,77.98
2016-07-31,22.08,$0.33,67.25
2016-01-31,20.82,$1.85,11.24
2015-10-31,29.53,$1.67,17.66
2015-07-31,33.73,$1.08,31.26
2015-04-30,29.17,$1.10,26.43
2015-01-31,30.9,$1.86,16.58
2016-04-30,23.83,$-0.61,0.0
2014-10-31,25.58,$1.25,20.53
2014-07-31,26.25,$1.10,23.79
2014-04-30,24.47,$1.29,19.01
2014-01-31,21.12,$1.32,16.06
2013-10-31,20.2,$1.07,18.84
2013-07-31,22.54,$0.77,29.34
2013-04-30,20.45,$0.48,42.19
2013-01-31,16.66,$0.79,21.21
2012-10-31,17.42,$0.98,17.8
2012-07-31,13.03,$1.12,11.65
2012-04-30,14.41,$1.05,13.77
2012-01-31,13.28,$0.76,17.59
2011-10-31,13.82,$0.87,15.91
2011-07-31,13.57,$1.01,13.45
2011-04-30,15.84,$1.26,12.54
2011-01-31,11.7,$1.39,8.41
2010-10-31,11.71,$1.45,8.07
2010-07-31,9.62,$1.62,5.94
2010-04-30,10.31,$1.15,8.94
2010-01-31,6.77,$2.15,3.15
2009-10-31,6.65,$0.53,12.46
