Itau Unibanco Holding S.A Price to Free Cash Flow Ratio Historical Data,Itau Unibanco Holding S.A Price to Free Cash Flow Ratio Historical Data,Itau Unibanco Holding S.A Price to Free Cash Flow Ratio Historical Data,Itau Unibanco Holding S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.21,,5.0
2024-06-30,5.78,$1.24,4.66
2024-03-31,6.81,$1.60,4.24
2023-12-31,6.56,$1.50,4.37
2023-09-30,5.02,$2.44,2.06
2023-06-30,5.45,$2.96,1.84
2023-03-31,4.45,$3.24,1.37
2022-09-30,4.55,$2.96,1.54
2022-06-30,3.72,$2.72,1.37
2022-03-31,4.95,$1.93,2.57
2021-12-31,3.24,$1.11,2.92
2021-09-30,3.7,$0.46,8.13
2021-06-30,4.2,$0.05,90.97
2021-03-31,3.45,$0.21,16.48
2020-12-31,4.19,$1.15,3.64
2020-09-30,2.73,$2.03,1.34
2020-06-30,3.2,$2.00,1.6
2020-03-31,3.06,$-0.94,0.0
2019-12-31,6.03,$0.66,9.07
2019-09-30,5.53,$0.06,99.06
2019-06-30,6.04,$1.68,3.59
2022-12-31,4.24,$4.64,0.91
2019-03-31,5.64,$3.86,1.46
2018-12-31,5.56,$0.60,9.28
2018-09-30,4.45,$-1.13,0.0
2018-06-30,4.13,$-1.06,0.0
2018-03-31,6.2,$-2.76,0.0
2017-12-31,4.94,$0.25,19.6
2017-09-30,5.18,$-0.23,0.0
2017-06-30,4.13,$-0.72,0.0
2017-03-31,4.51,$-0.06,0.0
2016-12-31,3.77,$0.86,4.4
2016-09-30,3.58,$1.66,2.16
2016-06-30,3.06,$1.93,1.58
2016-03-31,2.78,$1.14,2.43
2015-12-31,2.04,$-1.10,0.0
2015-09-30,2.06,$1.51,1.37
2015-06-30,3.06,$0.57,5.37
2015-03-31,3.08,$0.66,4.65
2014-12-31,3.53,$3.68,0.96
2014-09-30,3.76,$0.99,3.81
2014-06-30,3.86,$1.36,2.84
2014-03-31,3.62,$3.09,1.17
2013-12-31,3.25,$1.41,2.3
2013-09-30,3.35,$1.73,1.94
2013-06-30,3.03,$2.24,1.35
2013-03-31,3.79,$0.29,12.9
2012-12-31,3.46,$2.44,1.42
2012-09-30,3.18,$1.53,2.08
2012-06-30,2.87,$-1.39,0.0
2012-03-31,3.95,$2.27,1.74
2011-12-31,3.78,$-0.55,0.0
2011-09-30,3.13,$-1.17,0.0
2011-06-30,4.69,$1.08,4.33
2011-03-31,4.78,$-2.22,0.0
2010-12-31,4.7,$-2.24,0.0
2010-09-30,4.73,$0.61,7.77
2010-06-30,3.49,$1.06,3.3
2010-03-31,4.26,$2.10,2.03
2009-12-31,4.36,$2.84,1.54
