B2Gold Corp Price to Free Cash Flow Ratio Historical Data,B2Gold Corp Price to Free Cash Flow Ratio Historical Data,B2Gold Corp Price to Free Cash Flow Ratio Historical Data,B2Gold Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.33,,33.53
2024-06-30,2.66,$0.10,26.8
2024-03-31,2.53,$0.20,12.74
2023-12-31,3.07,$-0.08,0.0
2023-09-30,2.77,$0.17,16.72
2023-06-30,3.38,$0.27,12.41
2023-03-31,3.69,$0.29,12.94
2022-12-31,3.31,$0.24,13.95
2022-09-30,2.95,$0.19,15.5
2022-06-30,3.06,$0.40,7.6
2022-03-31,4.1,$0.35,11.72
2021-12-31,3.48,$0.40,8.76
2021-09-30,3.0,$0.36,8.35
2021-06-30,3.65,$0.34,10.65
2021-03-31,3.7,$0.55,6.72
2020-12-31,4.77,$0.57,8.43
2020-09-30,5.52,$0.50,11.1
2020-06-30,4.79,$0.39,12.26
2020-03-31,2.56,$0.28,9.05
2019-12-31,3.35,$0.23,14.87
2019-09-30,2.7,$0.20,13.37
2019-06-30,2.53,$0.19,13.14
2019-03-31,2.35,$0.19,12.48
2018-12-31,2.44,$0.22,11.14
2018-09-30,1.92,$0.38,5.08
2018-06-30,2.15,$0.21,10.45
2018-03-31,2.28,$0.11,21.56
2017-12-31,2.59,$-0.04,0.0
2017-09-30,2.34,$-0.26,0.0
2017-06-30,2.35,$-0.19,0.0
2017-03-31,2.36,$-0.14,0.0
2016-12-31,1.98,$0.02,79.45
2016-09-30,2.2,$0.02,110.87
2016-06-30,2.1,$-0.02,0.0
2016-03-31,1.39,$0.23,5.99
2015-12-31,0.85,$0.12,6.98
2015-09-30,0.88,$0.13,6.51
2015-06-30,1.28,$0.09,14.56
2014-12-31,1.35,$-0.26,0.0
2014-09-30,1.69,$-0.53,0.0
2014-06-30,2.44,$-0.47,0.0
2014-03-31,2.25,$-0.46,0.0
2013-12-31,1.69,$-0.47,0.0
2015-03-31,1.27,$-0.17,0.0
2013-09-30,2.07,$-0.24,0.0
2013-06-30,1.78,$-0.16,0.0
2013-03-31,2.55,$-0.07,0.0
2012-12-31,2.98,$-0.09,0.0
2012-09-30,3.34,$-0.05,0.0
