HealthEquity Price to Free Cash Flow Ratio Historical Data,HealthEquity Price to Free Cash Flow Ratio Historical Data,HealthEquity Price to Free Cash Flow Ratio Historical Data,HealthEquity Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,88.0,,30.12
2024-07-31,78.48,$2.92,26.86
2024-04-30,78.91,$2.62,30.07
2024-01-31,75.58,$2.30,32.86
2023-10-31,71.68,$2.08,34.51
2023-07-31,67.94,$2.00,33.99
2023-04-30,53.45,$1.56,34.24
2023-01-31,60.85,$1.21,50.32
2022-10-31,77.91,$1.10,70.9
2022-07-31,58.17,$0.72,80.47
2022-04-30,62.32,$0.58,106.66
2022-01-31,53.44,$0.83,64.03
2021-10-31,66.18,$1.03,64.33
2021-07-31,73.98,$1.38,53.66
2021-04-30,75.97,$1.76,43.07
2021-01-31,83.55,$1.55,54.03
2020-10-31,51.49,$1.25,41.31
2020-07-31,51.56,$0.91,56.77
2020-04-30,56.27,$0.70,80.26
2020-01-31,66.06,$1.05,62.75
2019-10-31,56.79,$1.21,46.96
2019-07-31,81.98,$1.53,53.73
2019-04-30,67.75,$1.55,43.62
2019-01-31,62.34,$1.57,39.67
2018-10-31,91.8,$1.34,68.64
2018-07-31,75.5,$1.25,60.24
2018-04-30,65.67,$1.19,55.19
2018-01-31,50.62,$1.06,47.54
2017-10-31,50.22,$1.01,49.57
2017-07-31,45.87,$0.90,50.88
2017-04-30,45.52,$0.74,61.6
2017-01-31,46.25,$0.55,84.15
2016-10-31,33.23,$0.45,74.34
2016-07-31,29.52,$0.41,71.18
2016-04-30,25.15,$0.30,84.23
2016-01-31,21.55,$0.29,73.45
2015-10-31,32.71,$0.26,123.85
2015-07-31,33.66,$0.17,201.68
2015-04-30,26.21,$0.12,210.52
