Morningstar Price to Free Cash Flow Ratio Historical Data,Morningstar Price to Free Cash Flow Ratio Historical Data,Morningstar Price to Free Cash Flow Ratio Historical Data,Morningstar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,343.39,,37.9
2024-06-30,295.08,$9.06,32.57
2024-03-31,307.16,$6.13,50.14
2023-12-31,284.7,$4.60,61.9
2023-09-30,232.6,$3.65,63.79
2023-06-30,194.32,$2.89,67.3
2023-03-31,200.84,$3.88,51.72
2022-12-31,213.88,$3.92,54.52
2022-09-30,209.33,$4.80,43.62
2022-06-30,238.42,$5.31,44.87
2022-03-31,268.92,$6.96,38.65
2021-12-31,335.84,$8.02,41.87
2021-09-30,254.08,$7.73,32.87
2021-06-30,251.88,$7.25,34.76
2021-03-31,220.17,$7.30,30.15
2020-12-31,226.56,$7.12,31.82
2020-09-30,156.66,$6.36,24.65
2020-06-30,137.23,$6.69,20.5
2020-03-31,112.86,$5.73,19.7
2019-12-31,146.61,$5.89,24.9
2019-09-30,141.35,$6.48,21.81
2019-06-30,139.63,$5.90,23.68
2019-03-31,121.36,$5.50,22.06
2018-12-31,105.53,$5.55,19.01
2018-09-30,120.7,$5.08,23.74
2018-06-30,122.72,$4.86,25.27
2018-03-31,91.17,$4.51,20.22
2017-12-31,92.31,$4.27,21.63
2017-09-30,80.69,$4.04,19.98
2017-06-30,74.16,$3.85,19.26
2017-03-31,74.18,$4.28,17.34
2016-12-31,69.21,$3.49,19.86
2016-09-30,74.37,$3.01,24.7
2016-06-30,76.52,$3.47,22.06
2016-03-31,82.38,$3.65,22.59
2015-12-31,74.84,$4.16,18.0
2015-09-30,74.52,$4.38,17.03
2015-06-30,73.69,$2.87,25.71
2015-03-31,69.21,$2.40,28.79
2014-12-31,59.61,$1.74,34.18
2014-09-30,62.39,$1.78,35.15
2014-06-30,65.82,$2.68,24.56
2014-03-31,72.27,$0.74,98.2
2013-12-31,71.26,$1.86,38.31
2013-09-30,72.21,$1.50,48.08
2013-06-30,70.56,$1.48,47.66
2012-12-31,57.04,$2.36,24.18
2012-09-30,56.67,$3.84,14.77
2012-06-30,52.24,$3.52,14.85
2012-03-31,56.85,$3.47,16.37
2011-12-31,53.52,$4.39,12.2
2013-03-31,63.48,$2.17,29.29
2011-09-30,50.76,$2.50,20.27
2011-06-30,54.62,$2.37,23.1
2011-03-31,52.42,$2.08,25.23
2010-12-31,47.66,$2.15,22.18
2010-09-30,39.98,$2.08,19.2
2010-06-30,38.15,$2.11,18.11
2010-03-31,43.14,$2.30,18.74
2009-12-31,43.37,$1.79,24.29
