Sea Price to Free Cash Flow Ratio Historical Data,Sea Price to Free Cash Flow Ratio Historical Data,Sea Price to Free Cash Flow Ratio Historical Data,Sea Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,98.96,,31.51
2024-06-30,71.42,$3.14,22.74
2024-03-31,53.71,$3.01,17.87
2023-12-31,40.5,$3.20,12.67
2023-09-30,43.95,$-3.33,0.0
2023-06-30,58.04,$0.80,72.69
2023-03-31,86.55,$-1.02,0.0
2022-12-31,52.03,$-3.33,0.0
2022-09-30,56.05,$-2.01,0.0
2022-06-30,66.86,$-4.09,0.0
2022-03-31,119.79,$-2.98,0.0
2021-12-31,223.71,$-1.06,0.0
2021-09-30,318.73,$0.82,390.65
2021-06-30,274.6,$1.39,198.08
2021-03-31,223.23,$1.22,183.11
2020-12-31,199.05,$0.46,429.26
2020-09-30,154.04,$0.32,477.94
2020-06-30,107.24,$-1.27,0.0
2020-03-31,44.31,$-1.56,0.0
2019-03-31,23.52,$-1.98,0.0
2018-12-31,11.32,$-1.99,0.0
2018-09-30,13.83,$-2.66,0.0
2018-06-30,15.0,$-2.43,0.0
