Nelnet Price to Free Cash Flow Ratio Historical Data,Nelnet Price to Free Cash Flow Ratio Historical Data,Nelnet Price to Free Cash Flow Ratio Historical Data,Nelnet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,115.33,,8.35
2024-06-30,100.62,$13.82,7.28
2024-03-31,94.42,$12.04,7.85
2023-12-31,87.72,$9.59,9.14
2023-09-30,88.52,$8.24,10.74
2023-06-30,95.35,$8.99,10.6
2023-03-31,90.55,$12.42,7.29
2022-12-31,89.18,$16.61,5.37
2022-09-30,77.62,$19.69,3.94
2022-06-30,83.32,$18.79,4.43
2022-03-31,82.83,$16.95,4.89
2021-12-31,94.92,$10.92,8.69
2021-09-30,76.79,$11.26,6.82
2021-06-30,72.7,$13.98,5.2
2021-03-31,70.09,$11.09,6.32
2020-12-31,68.44,$6.04,11.34
2020-09-30,57.69,$5.66,10.19
2020-06-30,45.57,$2.80,16.28
2020-03-31,43.17,$4.97,8.68
2019-12-31,55.17,$5.15,10.7
2019-09-30,60.06,$3.08,19.47
2019-06-30,55.77,$1.87,29.87
2019-03-31,51.71,$-1.24,0.0
2018-12-31,48.98,$3.57,13.74
2018-09-30,53.5,$3.21,16.68
2018-06-30,54.51,$1.68,32.43
2018-03-31,48.78,$4.20,11.61
2017-12-31,50.84,$3.98,12.78
2017-09-30,46.73,$3.62,12.92
2017-06-30,43.37,$4.49,9.65
2017-03-31,40.32,$3.88,10.38
2016-12-31,46.53,$5.45,8.54
2016-09-30,36.91,$6.66,5.54
2016-06-30,31.67,$7.67,4.13
2016-03-31,35.76,$7.69,4.65
2015-12-31,30.39,$8.23,3.69
2015-09-30,31.22,$8.46,3.69
2015-06-30,38.96,$7.92,4.92
2015-03-31,42.47,$7.90,5.38
2014-12-31,41.49,$7.12,5.83
2014-09-30,38.5,$9.04,4.26
2014-06-30,36.94,$8.04,4.6
2014-03-31,36.38,$8.02,4.53
2013-12-31,37.38,$7.95,4.7
2013-09-30,34.03,$4.88,6.97
2013-06-30,31.85,$5.88,5.42
2013-03-31,29.76,$5.79,5.14
2012-12-31,26.15,$6.11,4.28
2012-09-30,19.98,$7.31,2.73
2012-06-30,19.28,$6.17,3.12
2012-03-31,21.62,$6.61,3.27
2011-12-31,20.34,$6.16,3.3
2011-09-30,15.54,$7.71,2.01
2011-06-30,18.16,$5.85,3.1
2011-03-31,17.88,$5.32,3.36
2010-12-31,19.35,$3.69,5.24
2010-09-30,18.27,$3.55,5.14
2010-06-30,15.35,$5.41,2.84
2010-03-31,14.72,$6.51,2.26
2009-12-31,13.61,$10.81,1.26
