BCE Price to Free Cash Flow Ratio Historical Data,BCE Price to Free Cash Flow Ratio Historical Data,BCE Price to Free Cash Flow Ratio Historical Data,BCE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.49,,12.09
2024-06-30,31.46,$2.77,11.35
2024-03-31,32.31,$2.71,11.93
2023-12-31,36.65,$2.73,13.41
2023-09-30,34.9,$2.02,17.32
2023-06-30,40.96,$1.89,21.7
2023-03-31,39.61,$2.20,18.04
2022-12-31,38.24,$2.73,14.02
2022-09-30,35.96,$2.63,13.69
2022-06-30,41.54,$2.58,16.09
2022-03-31,46.17,$2.60,17.77
2021-12-31,42.75,$2.79,15.31
2021-09-30,40.57,$2.63,15.45
2021-06-30,39.44,$3.11,12.67
2021-03-31,35.59,$3.24,10.99
2020-12-31,33.23,$2.93,11.33
2020-09-30,31.73,$3.61,8.79
2020-06-30,31.49,$3.70,8.51
2020-03-31,30.36,$3.31,9.16
2019-12-31,33.94,$3.32,10.22
2019-09-30,35.01,$3.26,10.73
2019-06-30,32.48,$3.06,10.6
2019-03-31,31.29,$2.99,10.46
2018-12-31,27.49,$2.93,9.38
2018-09-30,27.8,$2.63,10.57
2018-06-30,27.39,$2.92,9.38
2018-03-31,28.71,$2.97,9.68
2017-12-31,31.6,$2.87,11.02
2017-09-30,30.47,$2.88,10.59
2017-06-30,28.95,$2.57,11.28
2017-03-31,28.11,$2.53,11.13
2016-12-31,27.12,$2.50,10.87
2016-09-30,28.63,$2.61,10.99
2016-06-30,29.0,$2.94,9.85
2016-03-31,27.6,$2.59,10.67
2015-12-31,23.13,$2.43,9.53
2015-09-30,24.24,$2.17,11.15
2015-06-30,24.85,$2.06,12.03
2015-03-31,24.47,$2.64,9.25
2014-12-31,26.17,$2.73,9.59
2014-09-30,24.12,$3.37,7.15
2014-06-30,25.26,$3.32,7.61
2014-03-31,23.73,$3.54,6.71
2013-12-31,23.5,$3.65,6.44
2013-09-30,22.89,$2.64,8.68
2013-06-30,21.7,$2.62,8.27
2013-03-31,24.38,$2.54,9.61
2012-12-31,22.13,$2.62,8.45
2012-09-30,22.35,$2.46,9.09
2012-06-30,20.69,$2.89,7.15
2012-03-31,19.86,$2.45,8.1
2011-12-31,20.39,$2.10,9.72
2011-09-30,18.1,$1.78,10.18
2011-06-30,18.73,$1.51,12.42
2011-03-31,17.09,$1.68,10.16
2010-12-31,16.44,$2.26,7.26
2010-09-30,14.87,$3.05,4.88
2010-06-30,13.21,$2.88,4.58
2010-03-31,13.06,$2.72,4.8
2009-12-31,12.12,$2.35,5.16
