Nutanix Price to Free Cash Flow Ratio Historical Data,Nutanix Price to Free Cash Flow Ratio Historical Data,Nutanix Price to Free Cash Flow Ratio Historical Data,Nutanix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,64.36,,26.35
2024-07-31,50.51,$2.44,20.68
2024-04-30,60.7,$1.72,35.31
2024-01-31,56.2,$1.41,39.95
2023-10-31,36.19,$1.24,29.29
2023-07-31,30.2,$0.89,34.03
2023-04-30,23.98,$0.79,30.24
2023-01-31,27.87,$0.48,57.7
2022-10-31,27.4,$0.29,93.52
2022-07-31,15.13,$0.08,180.55
2022-04-30,25.03,$-0.23,0.0
2022-01-31,27.34,$-0.48,0.0
2021-10-31,34.31,$-0.70,0.0
2021-07-31,36.02,$-0.77,0.0
2021-04-30,27.04,$-0.64,0.0
2021-01-31,30.52,$-0.89,0.0
2020-10-31,24.34,$-1.13,0.0
2020-07-31,22.19,$-1.28,0.0
2020-04-30,20.49,$-1.39,0.0
2020-01-31,32.47,$-1.12,0.0
2019-10-31,29.22,$-0.77,0.0
2019-07-31,22.7,$-0.42,0.0
2019-04-30,43.19,$-0.19,0.0
2019-01-31,51.23,$0.12,423.39
2018-10-31,41.51,$0.35,119.32
2018-07-31,48.89,$0.18,266.0
2018-04-30,50.59,$0.07,686.43
2018-01-31,32.1,$-0.12,0.0
2017-10-31,28.5,$-0.22,0.0
2017-07-31,21.25,$-0.28,0.0
