Novanta Price to Free Cash Flow Ratio Historical Data,Novanta Price to Free Cash Flow Ratio Historical Data,Novanta Price to Free Cash Flow Ratio Historical Data,Novanta Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,177.09,,47.92
2024-06-30,163.11,$3.70,44.14
2024-03-31,174.77,$3.33,52.52
2023-12-31,168.41,$2.78,60.57
2023-09-30,143.44,$2.89,49.72
2023-06-30,184.1,$2.15,85.44
2023-03-31,159.09,$2.03,78.45
2022-12-31,135.87,$1.98,68.46
2022-09-30,115.65,$1.63,70.96
2022-06-30,121.27,$1.53,79.38
2022-03-31,142.29,$1.67,85.01
2021-12-31,176.33,$2.09,84.29
2021-09-30,154.5,$2.64,58.43
2021-06-30,134.76,$3.53,38.16
2021-03-31,131.89,$3.76,35.05
2020-12-31,118.22,$3.64,32.49
2020-09-30,105.34,$3.34,31.5
2020-06-30,106.77,$3.18,33.56
2020-03-31,79.88,$1.83,43.72
2019-12-31,88.44,$1.48,59.83
2019-09-30,81.72,$1.09,74.99
2019-06-30,94.3,$1.53,61.52
2019-03-31,84.73,$1.67,50.78
2018-12-31,63.0,$2.08,30.34
2018-09-30,68.4,$2.09,32.77
2018-06-30,62.3,$0.96,65.24
2018-03-31,52.15,$1.72,30.32
2017-12-31,50.0,$1.54,32.47
2017-09-30,43.6,$1.22,35.8
2017-06-30,36.0,$1.32,27.19
2017-03-31,26.55,$1.53,17.39
