Ensign Price to Free Cash Flow Ratio Historical Data,Ensign Price to Free Cash Flow Ratio Historical Data,Ensign Price to Free Cash Flow Ratio Historical Data,Ensign Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,149.04,,61.28
2024-06-30,123.64,$2.43,50.84
2024-03-31,124.31,$4.44,27.97
2023-12-31,112.06,$4.72,23.73
2023-09-30,92.75,$4.34,21.36
2023-06-30,95.22,$3.67,25.98
2023-03-31,95.24,$3.55,26.85
2022-12-31,94.26,$3.40,27.69
2022-09-30,79.16,$2.79,28.4
2022-06-30,73.1,$4.19,17.46
2022-03-31,89.49,$3.54,25.26
2021-12-31,83.43,$3.65,22.83
2021-09-30,74.37,$4.10,18.15
2021-06-30,86.0,$3.91,21.98
2021-03-31,93.06,$5.49,16.94
2020-12-31,72.28,$5.35,13.51
2020-09-30,56.51,$4.80,11.77
2020-06-30,41.41,$5.06,8.19
2020-03-31,37.17,$2.47,15.04
2019-12-31,44.78,$2.29,19.57
2019-09-30,42.94,$0.68,63.13
2019-06-30,51.48,$-0.06,0.0
2019-03-31,46.26,$0.93,49.53
2018-12-31,35.02,$1.46,23.98
2018-09-30,34.2,$2.29,14.96
2018-06-30,32.26,$1.90,17.01
2018-03-31,23.66,$0.93,25.51
2017-12-31,19.94,$0.53,37.73
2017-09-30,20.25,$-1.36,0.0
2017-06-30,19.47,$-1.32,0.0
2017-03-31,16.79,$-1.12,0.0
2016-12-31,19.78,$-1.37,0.0
2016-09-30,17.9,$0.50,35.54
2016-06-30,18.64,$-0.10,0.0
2016-03-31,20.05,$-0.78,0.0
2015-12-31,20.01,$-0.81,0.0
2015-09-30,18.81,$-0.70,0.0
2015-06-30,22.49,$-0.15,0.0
2015-03-31,20.61,$0.46,45.06
2014-12-31,19.49,$0.50,38.69
2014-09-30,15.26,$-0.25,0.0
2014-06-30,13.6,$-0.18,0.0
2014-03-31,10.61,$-0.28,0.0
2013-12-31,10.75,$0.19,55.96
2013-09-30,9.97,$1.23,8.13
2013-06-30,8.53,$1.25,6.8
2013-03-31,8.07,$1.15,7.02
2012-12-31,6.55,$0.73,8.95
2012-09-30,7.36,$0.33,22.08
2012-06-30,6.79,$-0.04,0.0
2012-03-31,6.51,$0.12,53.78
2011-12-31,5.86,$0.22,27.2
2011-09-30,5.51,$0.62,8.83
2011-06-30,7.23,$0.77,9.44
2011-03-31,7.58,$0.72,10.6
2010-12-31,5.9,$0.75,7.82
2010-09-30,4.25,$0.61,6.96
2010-06-30,3.9,$0.45,8.74
2010-03-31,4.06,$0.55,7.41
2009-12-31,3.6,$0.59,6.16
