Insight Enterprises Price to Free Cash Flow Ratio Historical Data,Insight Enterprises Price to Free Cash Flow Ratio Historical Data,Insight Enterprises Price to Free Cash Flow Ratio Historical Data,Insight Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,222.29,,12.3
2024-06-30,198.36,$18.08,10.97
2024-03-31,185.52,$18.20,10.19
2023-12-31,177.19,$16.00,11.08
2023-09-30,145.5,$18.80,7.74
2023-06-30,146.34,$19.17,7.64
2023-03-31,142.96,$13.22,10.81
2022-12-31,100.27,$0.78,128.78
2022-09-30,82.41,$-0.22,0.0
2022-06-30,86.28,$-9.80,0.0
2022-03-31,107.32,$-6.20,0.0
2021-12-31,106.6,$3.87,27.55
2021-09-30,90.08,$-5.58,0.0
2021-06-30,100.01,$-3.20,0.0
2021-03-31,95.42,$9.37,10.18
2020-12-31,76.09,$10.49,7.26
2020-09-30,56.58,$10.30,5.5
2020-06-30,49.2,$10.98,4.48
2020-03-31,42.13,$1.21,34.8
2019-12-31,70.29,$1.63,42.99
2019-09-30,55.69,$5.36,10.38
2019-06-30,58.2,$2.91,20.01
2019-03-31,55.06,$6.86,8.03
2018-12-31,40.75,$7.65,5.33
2018-09-30,54.09,$6.88,7.86
2018-06-30,48.93,$3.52,13.91
2018-03-31,34.93,$-0.51,0.0
2017-12-31,38.29,$-9.01,0.0
2017-09-30,45.92,$-3.32,0.0
2017-06-30,39.99,$-0.47,0.0
2017-03-31,41.09,$-0.81,0.0
2016-12-31,40.44,$2.34,17.3
2016-09-30,32.55,$0.29,112.51
2016-06-30,26.0,$1.81,14.33
2016-03-31,28.64,$2.61,10.98
2015-12-31,25.12,$4.38,5.73
2015-09-30,25.85,$1.89,13.67
2015-06-30,29.91,$2.44,12.25
2015-03-31,28.52,$1.40,20.38
2014-12-31,25.89,$2.49,10.42
2014-09-30,22.63,$1.05,21.53
2014-06-30,30.74,$1.91,16.1
2014-03-31,25.11,$2.61,9.62
2013-12-31,22.71,$1.32,17.23
2013-09-30,18.91,$1.89,9.99
2013-06-30,17.74,$2.73,6.49
2013-03-31,20.62,$1.70,12.14
2012-12-31,17.37,$0.83,20.88
2012-09-30,17.47,$2.25,7.78
2012-06-30,16.83,$2.11,7.97
2012-03-31,21.93,$-0.37,0.0
2011-12-31,15.29,$1.93,7.94
2011-09-30,15.14,$1.03,14.66
2011-06-30,17.71,$-1.16,0.0
2011-03-31,17.03,$1.08,15.77
2010-12-31,13.16,$1.71,7.68
2010-09-30,15.69,$0.54,28.93
2010-06-30,13.16,$0.81,16.3
2010-03-31,14.36,$2.53,5.68
2009-12-31,11.42,$2.33,4.89
