Tenaris S.A Price to Free Cash Flow Ratio Historical Data,Tenaris S.A Price to Free Cash Flow Ratio Historical Data,Tenaris S.A Price to Free Cash Flow Ratio Historical Data,Tenaris S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,31.63,,5.55
2024-06-30,30.52,$5.70,5.36
2024-03-31,38.38,$6.30,6.09
2023-12-31,33.97,$6.43,5.29
2023-09-30,30.53,$5.99,5.1
2023-06-30,28.94,$4.26,6.79
2023-03-31,26.77,$2.94,9.11
2022-12-31,33.12,$1.42,23.35
2022-09-30,24.09,$0.69,35.09
2022-06-30,23.95,$0.47,50.58
2022-03-31,27.56,$-0.37,0.0
2021-12-31,19.12,$-0.17,0.0
2021-09-30,19.12,$0.03,554.09
2021-06-30,19.83,$0.71,27.95
2021-03-31,20.3,$1.56,12.98
2020-12-31,14.27,$2.27,6.28
2020-09-30,8.73,$2.41,3.62
2020-06-30,11.46,$2.24,5.11
2020-03-31,10.26,$1.98,5.19
2019-12-31,19.27,$2.00,9.64
2019-09-30,17.82,$1.96,9.08
2019-06-30,22.13,$1.42,15.55
2019-03-31,23.29,$1.43,16.33
2018-12-31,17.58,$0.44,39.7
2018-09-30,27.38,$-0.06,0.0
2018-06-30,29.72,$-0.25,0.0
2018-03-31,27.93,$-0.99,0.0
2017-12-31,25.66,$-0.97,0.0
2017-09-30,22.6,$-1.15,0.0
2017-06-30,24.86,$-0.76,0.0
2017-03-31,26.79,$-0.15,0.0
2016-12-31,28.02,$0.17,164.93
2016-09-30,22.1,$0.43,51.86
2016-06-30,22.45,$0.77,29.2
2016-03-31,18.83,$0.96,19.54
2015-12-31,18.1,$1.88,9.65
2015-09-30,18.12,$3.46,5.24
2015-06-30,20.31,$3.57,5.68
2015-03-31,20.64,$3.66,5.63
2014-12-31,22.27,$3.35,6.65
2014-09-30,33.3,$2.33,14.29
2014-06-30,34.47,$2.68,12.87
2014-03-31,31.9,$2.84,11.24
2013-12-31,31.5,$2.76,11.41
2013-09-30,33.54,$2.60,12.88
2013-06-30,28.87,$2.17,13.29
2013-03-31,28.83,$1.79,16.09
2012-12-31,29.64,$1.84,16.11
2012-09-30,28.63,$2.07,13.85
2012-06-30,24.56,$1.73,14.19
2012-03-31,26.46,$1.50,17.65
2011-12-31,25.73,$0.73,35.4
2011-09-30,17.47,$0.18,95.54
2011-06-30,31.4,$-0.14,0.0
2011-03-31,33.64,$-0.49,0.0
2010-12-31,33.31,$0.06,603.49
2010-09-30,25.98,$0.29,90.51
2010-06-30,23.4,$1.52,15.37
2010-03-31,28.72,$3.59,8.0
2009-12-31,28.52,$4.13,6.9
