Wingstop Price to Free Cash Flow Ratio Historical Data,Wingstop Price to Free Cash Flow Ratio Historical Data,Wingstop Price to Free Cash Flow Ratio Historical Data,Wingstop Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,373.56,,100.93
2024-06-30,422.37,$3.70,114.11
2024-03-31,365.94,$2.81,130.34
2023-12-31,256.1,$2.72,94.29
2023-09-30,179.33,$2.46,72.78
2023-06-30,199.33,$2.23,89.41
2023-03-31,182.65,$2.41,75.88
2022-12-31,136.77,$1.88,72.71
2022-09-30,124.49,$0.72,172.48
2022-06-30,74.11,$0.84,88.48
2022-03-31,116.05,$1.09,106.55
2021-12-31,164.79,$0.94,175.83
2021-09-30,156.18,$2.05,76.33
2021-06-30,150.02,$2.09,71.74
2021-03-31,120.9,$2.16,56.04
2020-12-31,125.87,$2.16,58.36
2020-09-30,124.8,$1.89,65.94
2020-06-30,126.81,$1.08,116.91
2020-03-31,72.66,$0.61,119.81
2019-12-31,78.51,$0.54,144.72
2019-09-30,79.36,$0.49,161.69
2019-06-30,86.06,$0.93,92.44
2019-03-31,68.99,$1.17,58.87
2018-12-31,58.24,$1.18,49.53
2018-09-30,58.99,$1.17,50.41
2018-06-30,44.98,$1.08,41.62
2018-03-31,40.7,$0.92,44.45
2017-12-31,31.28,$0.85,36.97
2017-09-30,26.64,$0.79,33.57
2017-06-30,24.7,$0.69,35.93
2017-03-31,22.61,$0.66,34.27
2016-12-31,23.65,$0.68,34.58
2016-09-30,23.42,$0.71,33.14
2016-06-30,19.57,$0.72,27.13
2016-03-31,16.29,$0.69,23.59
