Green Brick Partners Price to Free Cash Flow Ratio Historical Data,Green Brick Partners Price to Free Cash Flow Ratio Historical Data,Green Brick Partners Price to Free Cash Flow Ratio Historical Data,Green Brick Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,82.02,,0.0
2024-06-30,57.24,$-0.04,0.0
2024-03-31,60.23,$1.17,51.29
2023-12-31,51.94,$4.48,11.6
2023-09-30,41.51,$6.18,6.72
2023-06-30,56.8,$5.38,10.56
2023-03-31,35.06,$5.43,6.45
2022-12-31,24.23,$1.85,13.11
2022-09-30,21.38,$1.07,19.91
2022-06-30,19.57,$1.50,13.01
2022-03-31,19.76,$-1.96,0.0
2021-12-31,30.33,$-1.85,0.0
2021-09-30,20.52,$-2.87,0.0
2021-06-30,22.74,$-2.47,0.0
2021-03-31,22.68,$0.46,49.22
2020-12-31,22.96,$0.63,36.18
2020-09-30,16.1,$1.20,13.46
2020-06-30,11.85,$0.69,17.12
2020-03-31,8.05,$-0.29,0.0
2019-12-31,11.48,$-0.49,0.0
2019-09-30,10.7,$-0.51,0.0
2019-06-30,8.31,$-1.01,0.0
2019-03-31,8.75,$-0.62,0.0
2018-12-31,7.24,$-0.84,0.0
2018-09-30,10.1,$-0.69,0.0
2018-06-30,9.8,$-0.71,0.0
2018-03-31,10.9,$-1.11,0.0
2017-12-31,11.3,$-0.37,0.0
2017-09-30,9.9,$-0.49,0.0
2017-06-30,11.45,$0.10,112.92
2017-03-31,9.95,$0.57,17.58
2016-12-31,10.05,$-0.11,0.0
2016-09-30,8.26,$-0.76,0.0
2016-06-30,7.27,$-0.89,0.0
2016-03-31,7.59,$-1.15,0.0
2015-12-31,7.2,$-1.14,0.0
2015-09-30,10.82,$-0.70,0.0
2015-06-30,10.95,$-1.39,0.0
2015-03-31,8.28,$-0.47,0.0
2014-12-31,8.2,$0.08,96.58
2014-09-30,6.38,$-5.70,0.0
2014-06-30,6.87,$-3.78,0.0
2014-03-31,7.3,$-4.33,0.0
2013-12-31,1.71,$-4.50,0.0
2013-09-30,3.65,$-4.67,0.0
2013-06-30,3.34,$-5.50,0.0
2013-03-31,5.11,$-5.67,0.0
2012-12-31,3.68,$-5.78,0.0
2012-09-30,5.07,$2.82,1.8
2012-06-30,3.56,$3.06,1.16
2012-03-31,13.0,$3.39,3.84
2011-12-31,13.6,$4.38,3.11
2011-09-30,3.8,$2.50,1.52
2011-06-30,8.2,$2.75,2.98
2011-03-31,16.4,$-0.75,0.0
2010-12-31,34.8,$6.52,5.33
2010-09-30,39.8,$5.14,7.75
2010-06-30,26.6,$4.61,5.77
2010-03-31,58.8,$3.89,15.11
2009-12-31,54.2,$-19.92,0.0
