Toyota Price to Free Cash Flow Ratio Historical Data,Toyota Price to Free Cash Flow Ratio Historical Data,Toyota Price to Free Cash Flow Ratio Historical Data,Toyota Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,171.2,,42.87
2024-06-30,204.97,$3.99,51.32
2024-03-31,251.68,$8.46,29.77
2023-12-31,183.38,$9.01,20.34
2023-09-30,179.75,$8.19,21.95
2023-06-30,159.0,$8.94,17.78
2023-03-31,140.15,$7.11,19.7
2022-12-31,132.72,$7.71,17.21
2022-09-30,126.61,$11.54,10.97
2022-06-30,147.87,$11.72,12.62
2022-03-31,172.88,$11.65,14.84
2021-12-31,175.59,$9.36,18.77
2021-09-30,168.43,$6.55,25.72
2021-06-30,163.82,$4.97,32.96
2021-03-31,146.23,$4.30,34.0
2020-12-31,142.56,$3.63,39.29
2020-09-30,122.15,$5.99,20.38
2020-06-30,114.15,$8.84,12.91
2020-03-31,108.99,$9.28,11.74
2019-12-31,125.47,$10.14,12.38
2019-09-30,120.07,$11.12,10.8
2019-06-30,109.23,$10.00,10.93
2019-03-31,103.97,$9.12,11.4
2018-12-31,100.62,$11.24,8.95
2018-09-30,107.79,$9.88,10.91
2018-06-30,110.1,$9.25,11.9
2018-03-31,111.43,$11.39,9.79
2017-12-31,106.89,$10.93,9.78
2017-09-30,100.17,$9.68,10.35
2017-06-30,86.97,$6.82,12.76
2017-03-31,89.95,$7.01,12.82
2016-12-31,95.35,$6.84,13.94
2016-09-30,94.42,$8.62,10.96
2016-06-30,80.14,$9.79,8.19
2016-03-31,85.22,$8.28,10.29
2015-12-31,96.82,$8.03,12.06
2015-09-30,92.28,$6.17,14.96
2015-06-30,103.78,$6.81,15.24
2015-03-31,108.54,$6.76,16.07
2014-12-31,97.36,$5.41,18.0
2014-09-30,91.19,$7.14,12.77
2014-06-30,92.84,$8.92,10.41
2014-03-31,87.6,$11.04,7.93
2013-12-31,92.95,$10.05,9.24
2013-09-30,97.61,$8.69,11.24
2013-06-30,91.16,$7.73,11.79
2013-03-31,77.55,$7.05,11.0
2012-12-31,69.61,$7.91,8.8
2012-09-30,58.61,$7.81,7.5
2012-06-30,59.57,$5.54,10.76
2012-03-31,64.27,$3.01,21.33
2011-12-31,48.55,$3.01,16.15
2011-09-30,50.12,$2.21,22.67
2011-06-30,60.1,$3.81,15.78
2011-03-31,58.52,$6.70,8.73
2010-12-31,56.87,$5.97,9.53
2010-09-30,51.77,$7.62,6.8
2010-06-30,49.27,$12.62,3.9
2010-03-31,57.79,$11.27,5.13
2009-12-31,59.68,$8.10,7.36
