Lyft Price to Free Cash Flow Ratio Historical Data,Lyft Price to Free Cash Flow Ratio Historical Data,Lyft Price to Free Cash Flow Ratio Historical Data,Lyft Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.62,,12.12
2024-06-30,14.1,$1.12,12.55
2024-03-31,19.35,$0.24,79.86
2023-12-31,14.99,$-0.40,0.0
2023-09-30,10.54,$-0.51,0.0
2023-06-30,9.59,$-0.58,0.0
2023-03-31,9.27,$-0.41,0.0
2022-12-31,11.02,$-0.63,0.0
2022-09-30,13.17,$-0.70,0.0
2022-06-30,13.28,$-0.58,0.0
2022-03-31,38.4,$-0.64,0.0
2021-12-31,42.73,$-0.41,0.0
2021-09-30,53.59,$-1.20,0.0
2021-06-30,60.48,$-1.71,0.0
2021-03-31,63.18,$-4.09,0.0
2020-12-31,49.13,$-4.62,0.0
2020-09-30,27.55,$-4.31,0.0
2020-06-30,33.01,$-4.02,0.0
2020-03-31,26.85,$2.68,10.01
2019-12-31,43.02,$-1.22,0.0
