Service Price to Free Cash Flow Ratio Historical Data,Service Price to Free Cash Flow Ratio Historical Data,Service Price to Free Cash Flow Ratio Historical Data,Service Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,75.58,,20.14
2024-06-30,70.86,$3.75,18.88
2024-03-31,73.63,$3.37,21.87
2023-12-31,67.63,$3.33,20.31
2023-09-30,56.22,$2.44,23.02
2023-06-30,63.25,$2.08,30.41
2023-03-31,67.08,$2.08,32.27
2022-12-31,67.15,$2.85,23.58
2022-09-30,55.86,$2.91,19.22
2022-06-30,66.6,$3.35,19.88
2022-03-31,63.18,$3.83,16.51
2021-12-31,67.87,$3.63,18.71
2021-09-30,57.41,$4.24,13.55
2021-06-30,50.87,$4.07,12.5
2021-03-31,48.27,$4.04,11.95
2020-12-31,46.23,$3.25,14.21
2020-09-30,39.54,$2.78,14.25
2020-06-30,36.3,$2.73,13.29
2020-03-31,36.32,$2.07,17.53
2019-12-31,42.56,$2.10,20.31
2019-09-30,44.03,$2.12,20.81
2019-06-30,42.92,$1.91,22.5
2019-03-31,36.69,$2.08,17.61
2018-12-31,36.62,$2.23,16.4
2018-09-30,40.05,$2.19,18.28
2018-06-30,32.3,$2.06,15.65
2018-03-31,33.9,$1.88,18.05
2017-12-31,33.37,$1.78,18.8
2017-09-30,30.73,$1.64,18.73
2017-06-30,29.67,$1.63,18.2
2017-03-31,27.26,$1.55,17.56
2016-12-31,24.97,$1.51,16.56
2016-09-30,23.22,$1.29,17.96
2016-06-30,23.54,$1.24,18.97
2016-03-31,21.38,$1.52,14.06
2015-12-31,22.43,$1.57,14.28
2015-09-30,23.25,$1.49,15.65
2015-06-30,25.15,$1.34,18.84
2015-03-31,22.19,$1.11,20.07
2014-12-31,19.26,$0.81,23.86
2014-09-30,17.86,$0.87,20.46
2014-06-30,17.44,$0.97,18.02
2014-03-31,16.66,$1.13,14.68
2013-12-31,15.13,$1.26,12.03
2013-09-30,15.48,$1.39,11.16
2013-06-30,14.93,$1.49,10.03
2013-03-31,13.8,$1.43,9.64
2012-12-31,11.35,$1.16,9.79
2012-09-30,10.97,$1.18,9.3
2012-06-30,10.03,$1.13,8.84
2012-03-31,9.09,$1.12,8.1
2011-12-31,8.56,$1.14,7.51
2011-09-30,7.32,$1.09,6.7
2011-06-30,9.3,$0.94,9.84
2011-03-31,8.77,$1.01,8.66
2010-12-31,6.51,$1.02,6.36
2010-09-30,6.77,$0.98,6.88
2010-06-30,5.78,$1.04,5.56
2010-03-31,7.14,$1.02,6.97
2009-12-31,6.34,$1.14,5.55
