Ecopetrol S.A Price to Free Cash Flow Ratio Historical Data,Ecopetrol S.A Price to Free Cash Flow Ratio Historical Data,Ecopetrol S.A Price to Free Cash Flow Ratio Historical Data,Ecopetrol S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.15,,inf
2024-06-30,11.19,0,0.0
2024-03-31,10.35,0,0.0
2023-12-31,10.42,0,0.0
2023-09-30,9.34,0,0.0
2023-06-30,7.62,0,0.0
2023-03-31,7.23,0,0.0
2022-12-31,7.17,0,0.0
2022-09-30,6.11,$6.12,1.0
2022-06-30,7.44,$6.12,1.21
2022-03-31,11.01,$6.05,1.82
2021-12-31,7.63,$6.12,1.25
2021-09-30,8.49,0,0.0
2021-06-30,8.65,0,0.0
2021-03-31,7.53,$0.08,98.7
2020-12-31,7.58,0,0.0
2020-09-30,5.78,0,0.0
2020-06-30,6.54,0,0.0
2020-03-31,5.09,0,0.0
2019-12-31,10.67,0,0.0
2019-09-30,8.87,0,0.0
2019-06-30,9.53,0,0.0
2019-03-31,10.48,0,0.0
2018-09-30,13.16,0,0.0
2018-06-30,10.04,$-0.35,0.0
2017-09-30,4.5,0,0.0
2017-06-30,4.31,$-0.69,0.0
2016-06-30,4.46,$-0.69,0.0
2016-03-31,4.02,$-0.41,0.0
2015-12-31,3.27,$-0.69,0.0
2015-09-30,4.01,$-0.12,0.0
2015-06-30,6.19,$-0.98,0.0
2015-03-31,6.58,$-0.06,0.0
2014-12-31,7.4,$0.46,15.98
2014-09-30,13.51,$-3.66,0.0
2014-06-30,15.57,$1.34,11.61
2014-03-31,16.44,$0.85,19.23
2013-12-31,15.49,$0.89,17.37
2013-09-30,18.54,$5.91,3.14
2013-06-30,16.95,$1.79,9.45
2013-03-31,20.66,$-0.21,0.0
2012-12-31,22.62,$1.38,16.4
2012-09-30,22.34,$0.03,752.05
2012-06-30,21.15,$0.74,28.75
2012-03-31,21.92,$3.47,6.31
2011-12-31,15.97,$2.05,7.79
2011-09-30,14.27,$2.45,5.83
2011-06-30,15.39,$1.32,11.65
2011-03-31,14.39,$1.20,12.0
2010-12-31,15.06,$0.94,16.07
2010-09-30,14.3,$0.13,110.92
2010-06-30,9.74,$0.50,19.55
2010-03-31,9.51,$-0.46,0.0
2009-12-31,8.14,$-1.49,0.0
