AllianceBernstein Holding Price to Free Cash Flow Ratio Historical Data,AllianceBernstein Holding Price to Free Cash Flow Ratio Historical Data,AllianceBernstein Holding Price to Free Cash Flow Ratio Historical Data,AllianceBernstein Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.41,,13.94
2024-06-30,33.05,$2.76,12.0
2024-03-31,33.25,$2.68,12.41
2023-12-31,29.01,$2.60,11.15
2023-09-30,27.74,$2.64,10.49
2023-06-30,28.84,$2.70,10.69
2023-03-31,32.16,$2.97,10.83
2022-12-31,29.72,$3.56,8.34
2022-09-30,29.79,$3.74,7.96
2022-06-30,34.77,$3.99,8.72
2022-03-31,38.46,$3.81,10.1
2021-12-31,38.83,$3.57,10.89
2021-09-30,38.81,$3.37,11.52
2021-06-30,35.79,$3.08,11.62
2021-03-31,30.19,$2.98,10.13
2020-12-31,24.85,$2.79,8.92
2020-09-30,19.43,$2.75,7.07
2020-06-30,19.17,$2.69,7.14
2020-03-31,12.72,$2.54,5.01
2019-12-31,20.21,$2.32,8.7
2019-09-30,19.18,$2.37,8.08
2019-06-30,19.05,$2.45,7.78
2019-03-31,18.52,$2.68,6.92
2018-12-31,17.14,$2.87,5.97
2018-09-30,18.66,$2.66,7.01
2018-06-30,17.12,$2.55,6.71
2018-03-31,15.67,$2.29,6.85
2017-12-31,14.18,$2.13,6.66
2017-09-30,13.48,$2.08,6.5
2017-06-30,12.86,$1.97,6.53
2017-03-31,12.16,$1.85,6.59
2016-12-31,12.14,$1.74,6.97
2016-09-30,11.55,$1.75,6.62
2016-06-30,11.59,$1.81,6.41
2016-03-31,11.45,$1.86,6.17
2015-12-31,11.36,$1.92,5.92
2015-09-30,12.46,$1.94,6.44
2015-06-30,13.6,$1.89,7.21
2015-03-31,14.01,$1.82,7.72
2014-12-31,11.48,$1.85,6.22
2014-09-30,11.37,$1.67,6.79
2014-06-30,11.12,$1.76,6.33
2014-03-31,10.55,$1.83,5.76
2013-12-31,8.8,$1.60,5.51
2013-09-30,8.04,$1.70,4.74
2013-06-30,8.28,$1.40,5.9
2013-03-31,8.58,$1.28,6.69
2012-12-31,6.71,$0.99,6.78
2012-09-30,5.8,$0.88,6.63
2012-06-30,4.7,$1.02,4.63
2012-03-31,5.67,$1.17,4.83
2011-12-31,4.71,$1.47,3.22
2011-09-30,4.83,$1.33,3.62
2011-06-30,6.72,$1.28,5.24
2011-03-31,7.4,$1.30,5.68
2010-12-31,7.77,$1.49,5.2
2010-09-30,8.76,$2.94,2.98
2010-06-30,8.47,$2.56,3.3
2010-03-31,9.9,$2.04,4.86
2009-12-31,8.86,$1.21,7.33
