Eni SpA Price to Free Cash Flow Ratio Historical Data,Eni SpA Price to Free Cash Flow Ratio Historical Data,Eni SpA Price to Free Cash Flow Ratio Historical Data,Eni SpA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.68,,7.15
2024-06-30,30.27,$4.29,7.05
2024-03-31,30.7,$3.82,8.04
2023-12-31,32.38,$4.23,7.65
2023-09-30,29.93,$4.56,6.56
2023-06-30,26.58,$5.35,4.96
2023-03-31,25.43,$5.45,4.66
2022-12-31,25.56,$5.98,4.27
2022-09-30,18.55,$7.36,2.52
2022-06-30,20.5,$6.56,3.12
2022-03-31,24.42,$6.26,3.9
2021-12-31,23.08,$5.38,4.29
2021-09-30,22.33,$2.43,9.19
2021-06-30,19.56,$1.66,11.77
2021-03-31,19.36,$0.86,22.4
2020-12-31,16.14,$0.27,59.21
2020-09-30,12.18,$1.52,8.0
2020-06-30,14.85,$1.22,12.22
2020-03-31,14.53,$2.58,5.64
2019-12-31,22.7,$2.87,7.91
2019-09-30,22.35,$2.91,7.67
2019-06-30,23.5,$4.28,5.49
2019-03-31,24.38,$4.07,5.99
2018-12-31,21.79,$3.90,5.58
2018-09-30,26.05,$4.71,5.53
2018-06-30,25.04,$3.98,6.3
2018-03-31,23.26,$2.67,8.7
2017-12-31,21.85,$2.74,7.97
2017-09-30,21.77,$1.43,15.2
2017-06-30,19.22,$0.21,89.48
2017-03-31,20.35,$-0.33,0.0
2016-12-31,20.04,$-0.85,0.0
2016-09-30,17.95,$-0.47,0.0
2016-06-30,19.49,$-0.23,0.0
2016-03-31,17.66,$0.33,52.79
2015-12-31,17.42,$1.02,17.05
2015-09-30,18.34,$1.64,11.19
2015-06-30,20.23,$2.77,7.31
2015-03-31,19.06,$3.40,5.6
2014-12-31,19.23,$3.33,5.77
2014-09-30,26.02,$1.76,14.81
2014-06-30,29.36,$1.18,24.92
2014-03-31,26.05,$0.25,106.22
2013-12-31,25.17,$0.46,54.75
2013-09-30,23.9,$0.99,24.07
2013-06-30,20.66,$-1.16,0.0
2013-03-31,21.96,$0.86,25.46
2012-12-31,24.03,$1.69,14.24
2012-09-30,21.44,$1.09,19.71
2012-06-30,20.21,$2.88,7.02
2012-03-31,21.51,$2.01,10.69
2011-12-31,18.96,$2.26,8.39
2011-09-30,16.14,$2.09,7.74
2011-06-30,20.97,$2.16,9.71
2011-03-31,21.02,$1.43,14.71
2010-12-31,18.72,$1.94,9.64
2010-09-30,18.48,$1.36,13.62
2010-06-30,15.17,$0.06,264.82
2010-03-31,18.78,$-0.72,0.0
2009-12-31,20.25,$-0.81,0.0
