Tri Pointe Homes Price to Free Cash Flow Ratio Historical Data,Tri Pointe Homes Price to Free Cash Flow Ratio Historical Data,Tri Pointe Homes Price to Free Cash Flow Ratio Historical Data,Tri Pointe Homes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,46.21,,30.76
2024-06-30,37.25,$1.50,24.79
2024-03-31,38.66,$1.88,20.59
2023-12-31,35.4,$1.70,20.77
2023-09-30,27.35,$7.06,3.88
2023-06-30,32.86,$7.60,4.32
2023-03-31,25.32,$6.31,4.01
2022-12-31,18.59,$3.85,4.83
2022-09-30,15.11,$-0.33,0.0
2022-06-30,16.87,$0.77,22.03
2022-03-31,20.08,$2.03,9.87
2021-12-31,27.89,$3.43,8.14
2021-09-30,21.02,$3.49,6.02
2021-06-30,21.43,$3.92,5.47
2021-03-31,20.36,$5.27,3.86
2020-12-31,17.25,$4.35,3.97
2020-09-30,18.14,$5.33,3.41
2020-06-30,14.69,$4.02,3.65
2020-03-31,8.77,$2.16,4.06
2019-12-31,15.58,$2.02,7.71
2019-09-30,15.04,$1.70,8.85
2019-06-30,11.97,$1.15,10.38
2019-03-31,12.64,$0.70,18.0
2018-12-31,10.93,$1.87,5.84
2018-09-30,12.4,$1.39,8.94
2018-06-30,16.36,$1.96,8.34
2018-03-31,16.43,$1.66,9.88
2017-12-31,17.92,$0.64,28.05
2017-09-30,13.81,$-0.77,0.0
2017-06-30,13.19,$-1.28,0.0
2017-03-31,12.54,$-0.85,0.0
2016-12-31,11.48,$-1.01,0.0
2016-09-30,13.18,$-0.58,0.0
2016-06-30,11.82,$0.13,93.44
2016-03-31,11.78,$-0.01,0.0
2015-12-31,12.67,$0.19,68.12
2015-09-30,13.09,$-0.70,0.0
2015-06-30,15.3,$-2.62,0.0
2015-03-31,15.43,$-1.21,0.0
2014-12-31,15.25,$-0.75,0.0
2014-09-30,12.94,$2.09,6.18
2014-06-30,15.72,$2.21,7.1
2014-03-31,16.23,$-0.45,0.0
2013-12-31,19.93,$-1.31,0.0
