Monday Price to Free Cash Flow Ratio Historical Data,Monday Price to Free Cash Flow Ratio Historical Data,Monday Price to Free Cash Flow Ratio Historical Data,Monday Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,285.86,,59.05
2024-06-30,240.76,$4.84,49.74
2024-03-31,225.87,$4.68,48.24
2023-09-30,159.22,$3.61,44.13
2023-06-30,171.22,$2.77,61.79
2023-03-31,142.75,$1.40,101.96
2022-12-31,122.0,$0.24,501.85
2022-09-30,113.34,$0.08,1505.18
2022-06-30,103.16,$-0.46,0.0
2022-03-31,158.07,$-4.47,0.0
2021-12-31,308.72,$0.16,1909.21
