Intra-Cellular Therapies Price to Free Cash Flow Ratio Historical Data,Intra-Cellular Therapies Price to Free Cash Flow Ratio Historical Data,Intra-Cellular Therapies Price to Free Cash Flow Ratio Historical Data,Intra-Cellular Therapies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,78.68,,0.0
2024-06-30,68.49,$-0.61,0.0
2024-03-31,69.2,$-1.02,0.0
2023-12-31,71.62,$-1.30,0.0
2023-09-30,52.09,$-1.70,0.0
2023-06-30,63.32,$-2.00,0.0
2023-03-31,54.15,$-2.61,0.0
2022-12-31,52.92,$-2.88,0.0
2022-09-30,46.53,$-3.36,0.0
2022-06-30,57.08,$-3.77,0.0
2022-03-31,61.19,$-3.51,0.0
2021-12-31,52.34,$-3.20,0.0
2021-09-30,37.28,$-3.24,0.0
2021-06-30,40.82,$-3.11,0.0
2021-03-31,33.93,$-3.08,0.0
2020-12-31,31.8,$-3.27,0.0
2020-09-30,25.66,$-2.95,0.0
2020-06-30,25.67,$-2.65,0.0
2020-03-31,15.37,$-2.47,0.0
2019-12-31,34.31,$-2.33,0.0
2019-09-30,7.47,$-2.24,0.0
2019-06-30,12.98,$-2.22,0.0
2019-03-31,12.18,$-2.32,0.0
2018-12-31,11.39,$-2.17,0.0
2018-09-30,21.7,$-2.10,0.0
2018-06-30,17.67,$-1.92,0.0
2018-03-31,21.05,$-1.88,0.0
2017-12-31,14.48,$-1.76,0.0
2017-09-30,15.78,$-1.95,0.0
2017-06-30,12.42,$-2.30,0.0
2017-03-31,16.25,$-2.04,0.0
2016-12-31,15.09,$-2.11,0.0
2016-09-30,15.24,$-2.39,0.0
2016-06-30,38.82,$-2.27,0.0
2016-03-31,27.8,$-2.79,0.0
2015-12-31,53.79,$-2.86,0.0
2015-09-30,40.04,$-2.16,0.0
2015-06-30,31.95,$-1.74,0.0
2015-03-31,23.88,$-1.06,0.0
2014-12-31,17.65,$-0.80,0.0
