Cemex S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Cemex S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Cemex S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Cemex S.A.B De C.V Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.94,,22.0
2024-06-30,6.37,$0.27,23.59
2024-03-31,8.95,$0.27,33.15
2023-12-31,7.7,$0.27,28.51
2023-09-30,6.46,$0.13,50.61
2023-06-30,7.03,$0.13,55.12
2023-03-31,5.49,$0.37,15.03
2022-12-31,4.02,$0.37,11.01
2022-03-31,5.26,$0.24,22.09
2021-12-31,6.74,$0.48,14.09
2021-09-30,7.12,$0.27,26.23
2021-03-31,6.92,$0.24,28.85
2020-12-31,5.14,$0.24,21.4
2020-09-30,3.78,$0.15,25.46
2020-06-30,2.86,$0.08,34.02
2020-03-31,2.11,$0.15,14.45
2019-12-31,3.76,$0.15,25.32
2022-06-30,3.89,0,0.0
2019-09-30,3.84,$0.03,151.32
2019-06-30,4.16,$0.20,20.4
2019-03-31,4.5,$0.20,22.35
2018-12-31,4.67,$0.20,23.21
2018-09-30,6.82,$0.43,15.82
2018-06-30,6.36,$0.22,28.54
2018-03-31,6.41,$0.22,28.81
2017-12-31,7.27,$0.22,32.63
2017-09-30,8.8,$0.38,23.46
2017-06-30,9.13,$0.38,24.34
2017-03-31,8.45,$0.38,22.54
2016-12-31,7.48,$0.38,19.95
2016-09-30,7.4,$0.44,16.76
2016-06-30,5.75,$0.44,13.02
2016-03-31,6.52,$0.13,48.6
2015-12-31,4.99,$0.44,11.3
2015-09-30,6.26,$0.25,25.47
2015-06-30,8.21,0,0.0
2014-12-31,8.78,$0.31,28.57
2014-09-30,11.23,$-0.25,0.0
2014-06-30,11.4,$-0.03,0.0
2014-03-31,10.46,$0.06,162.2
2013-12-31,9.8,$-0.25,0.0
2013-09-30,9.26,$0.00,0.0
2013-06-30,8.76,$-0.46,0.0
2013-03-31,9.72,$-0.31,0.0
2012-12-31,7.86,$0.00,0.0
2015-03-31,8.16,0,0.0
2012-09-30,6.63,$1.18,5.62
2012-06-30,5.36,$1.18,4.54
2012-03-31,6.18,$1.14,5.42
2011-12-31,4.13,$1.18,3.5
2011-09-30,2.42,$0.19,12.45
2011-06-30,6.59,$1.03,6.4
2011-03-31,6.84,$1.07,6.39
2010-12-31,7.89,$1.03,7.66
2010-09-30,6.26,$2.42,2.58
2010-06-30,7.12,$1.59,4.48
2010-03-31,7.23,$1.59,4.55
2009-12-31,8.37,$1.59,5.26
2009-09-30,9.15,0,0.0
