"Zions Bancorporation, N.A Price to Free Cash Flow Ratio Historical Data","Zions Bancorporation, N.A Price to Free Cash Flow Ratio Historical Data","Zions Bancorporation, N.A Price to Free Cash Flow Ratio Historical Data","Zions Bancorporation, N.A Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.03,,9.26
2024-03-31,43.4,$5.51,7.88
2023-12-31,43.87,$5.22,8.4
2023-09-30,34.89,$10.11,3.45
2023-06-30,26.86,$9.05,2.97
2023-03-31,29.93,$8.25,3.63
2022-12-31,49.16,$8.52,5.77
2022-09-30,50.86,$6.20,8.21
2022-06-30,50.55,$6.07,8.32
2022-03-31,64.64,$1.56,41.46
2021-12-31,61.96,$2.64,23.47
2021-09-30,60.36,$2.65,22.81
2021-06-30,51.2,$2.61,19.64
2021-03-31,52.92,$5.22,10.15
2020-12-31,41.55,$3.31,12.56
2020-09-30,27.71,$4.32,6.41
2020-06-30,31.93,$4.19,7.63
2020-03-31,24.84,$4.18,5.95
2019-12-31,47.85,$3.11,15.39
2019-09-30,40.75,$2.88,14.13
2019-06-30,41.73,$4.08,10.22
2019-03-31,40.94,$3.55,11.52
2018-12-31,36.51,$5.07,7.2
2018-09-30,44.67,$3.99,11.2
2018-06-30,46.66,$3.14,14.86
2018-03-31,46.51,$3.23,14.41
2017-12-31,44.67,$3.62,12.34
2017-09-30,41.32,$3.83,10.78
2017-06-30,38.35,$3.74,10.27
2017-03-31,36.61,$2.71,13.52
2016-12-31,37.45,$1.96,19.12
2016-09-30,26.94,$1.46,18.41
2016-06-30,21.76,$1.52,14.31
2016-03-31,20.92,$2.05,10.19
2015-12-31,23.52,$1.51,15.61
2015-09-30,23.68,$1.35,17.49
2015-06-30,27.23,$1.42,19.19
2015-03-31,23.12,$1.05,22.12
2014-12-31,24.38,$1.06,22.98
2014-09-30,24.6,$1.35,18.29
2014-06-30,24.91,$1.79,13.93
2014-03-31,26.15,$3.32,7.87
2013-12-31,25.25,$4.05,6.23
2013-09-30,23.08,$4.40,5.24
2013-06-30,24.31,$3.47,7.0
2013-03-31,20.98,$-0.77,0.0
2012-12-31,17.96,$-0.54,0.0
2012-09-30,17.33,$-0.13,0.0
2012-06-30,16.28,$1.23,13.23
2011-12-31,13.63,$5.43,2.51
2011-09-30,11.78,$11.30,1.04
2011-06-30,20.08,$11.54,1.74
2011-03-31,19.28,$11.47,1.68
2010-12-31,20.25,$10.26,1.97
2012-03-31,17.98,$7.48,2.4
2010-09-30,17.84,$4.56,3.92
2010-06-30,18.01,$8.23,2.19
2010-03-31,18.23,$9.84,1.85
2009-12-31,10.7,$7.73,1.39
2009-09-30,14.98,$12.54,1.19
