New York Community Bancorp Price to Free Cash Flow Ratio Historical Data,New York Community Bancorp Price to Free Cash Flow Ratio Historical Data,New York Community Bancorp Price to Free Cash Flow Ratio Historical Data,New York Community Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.38,,1.36
2024-06-30,9.65,$9.08,1.06
2024-03-31,9.65,$-13.70,0.0
2023-12-31,30.33,$0.83,36.62
2023-09-30,33.62,$-0.10,0.0
2023-06-30,32.91,$-3.05,0.0
2023-03-31,26.03,$18.32,1.42
2022-12-31,24.35,$6.33,3.85
2022-09-30,23.7,$5.50,4.31
2022-06-30,24.95,$4.40,5.66
2022-03-31,28.77,$2.23,12.9
2021-12-31,32.28,$1.85,17.48
2021-09-30,33.57,$1.05,32.11
2021-06-30,28.35,$1.27,22.25
2021-03-31,32.0,$2.13,15.01
2020-12-31,26.33,$2.17,12.14
2020-09-30,20.21,$2.75,7.34
2020-06-30,24.51,$2.65,9.26
2020-03-31,22.18,$3.15,7.04
2019-12-31,27.97,$3.34,8.36
2019-09-30,28.79,$4.15,6.94
2019-06-30,22.56,$2.85,7.91
2019-03-31,25.75,$3.41,7.54
2018-12-31,20.65,$3.27,6.32
2018-09-30,22.36,$1.37,16.33
2018-06-30,23.43,$6.92,3.39
2018-03-31,27.26,$6.69,4.07
2017-12-31,26.9,$8.00,3.36
2017-09-30,26.27,$10.07,2.61
2017-06-30,26.41,$5.91,4.47
2017-03-31,27.74,$4.49,6.18
2016-12-31,31.24,$4.15,7.52
2016-09-30,27.6,$-2.66,0.0
2016-06-30,28.73,$-2.69,0.0
2016-03-31,30.12,$-1.62,0.0
2015-12-31,30.58,$-3.04,0.0
2015-09-30,33.32,$3.02,11.03
2015-06-30,33.46,$4.99,6.7
2015-03-31,30.01,$3.66,8.2
2014-12-31,28.25,$4.42,6.4
2014-09-30,27.59,$3.25,8.48
2014-06-30,27.34,$5.22,5.24
2014-03-31,27.05,$6.07,4.45
2013-12-31,27.9,$9.14,3.05
2013-09-30,24.64,$9.07,2.72
2013-06-30,22.46,$5.45,4.12
2013-03-31,22.59,$2.91,7.77
2012-12-31,20.24,$3.68,5.5
2012-09-30,21.48,$4.76,4.51
2012-06-30,18.65,$1.61,11.57
2012-03-31,20.31,$4.73,4.29
2011-12-31,17.71,$5.43,3.26
2011-09-30,16.71,$6.22,2.69
2011-06-30,20.65,$7.60,2.72
2011-03-31,23.43,$6.36,3.68
2010-12-31,25.24,$-0.82,0.0
2010-09-30,21.45,$-1.96,0.0
2010-06-30,19.87,$0.00,0.0
2010-03-31,21.21,$1.02,20.7
2009-12-31,18.29,$1.77,10.31
