Millicom Cellular SA Price to Free Cash Flow Ratio Historical Data,Millicom Cellular SA Price to Free Cash Flow Ratio Historical Data,Millicom Cellular SA Price to Free Cash Flow Ratio Historical Data,Millicom Cellular SA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.41,,8.97
2024-06-30,24.55,$3.05,8.04
2023-12-31,18.0,$2.49,7.24
2023-09-30,15.45,$3.52,4.39
2023-06-30,15.24,$2.54,6.0
2023-03-31,18.92,$2.88,6.57
2022-12-31,12.63,$3.62,3.49
2022-09-30,11.41,$2.89,3.95
2022-06-30,14.37,$3.43,4.19
2022-03-31,25.21,$3.17,7.95
2021-12-31,28.45,$1.76,16.18
2021-09-30,36.15,$1.52,23.82
2021-06-30,39.57,$1.77,22.29
2021-03-31,38.21,$1.90,20.13
2020-12-31,38.78,$3.67,10.58
2024-03-31,20.23,$1.76,11.51
2020-09-30,30.28,$1.51,20.02
2020-06-30,26.15,$1.25,20.99
2020-03-31,28.4,$0.30,95.75
2019-12-31,48.23,$0.88,54.81
