Albertsons Price to Free Cash Flow Ratio Historical Data,Albertsons Price to Free Cash Flow Ratio Historical Data,Albertsons Price to Free Cash Flow Ratio Historical Data,Albertsons Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.43,,12.94
2024-08-31,19.62,$1.42,13.77
2024-05-31,20.64,$1.52,13.61
2024-02-29,20.28,$1.46,13.93
2023-11-30,21.77,$1.24,17.59
2023-08-31,22.4,$1.28,17.57
2023-05-31,20.36,$1.56,13.05
2023-02-28,19.88,$1.68,11.86
2022-11-30,20.95,$2.45,8.55
2022-08-31,27.51,$2.97,9.25
2022-05-31,30.41,$3.92,7.76
2022-02-28,28.91,$4.12,7.02
2021-11-30,34.75,$2.65,13.13
2021-08-31,29.86,$3.05,9.79
2021-05-31,18.78,$5.19,3.62
