Transportadora De Gas Sa Ord B Price to Free Cash Flow Ratio Historical Data,Transportadora De Gas Sa Ord B Price to Free Cash Flow Ratio Historical Data,Transportadora De Gas Sa Ord B Price to Free Cash Flow Ratio Historical Data,Transportadora De Gas Sa Ord B Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.47,,19.37
2024-06-30,18.98,$1.06,17.96
2024-03-31,15.1,$0.74,20.41
2023-12-31,15.09,$1.38,10.97
2023-09-30,10.18,$0.57,17.92
2023-06-30,13.78,$0.69,19.94
2023-03-31,10.24,$0.38,26.81
2022-12-31,11.8,$0.52,22.83
2022-09-30,7.38,$1.13,6.54
2022-06-30,5.14,$1.11,4.63
2022-03-31,7.01,$1.55,4.51
2021-12-31,4.44,$1.44,3.08
2021-09-30,4.93,$1.51,3.27
2021-06-30,4.63,$1.93,2.4
2021-03-31,4.83,$2.24,2.15
2020-12-31,5.2,$1.93,2.69
2020-09-30,4.16,$1.37,3.05
2020-06-30,5.63,$0.63,8.94
2020-03-31,4.6,$-0.08,0.0
2019-12-31,7.17,$-0.32,0.0
2019-09-30,8.14,$0.05,156.01
2019-06-30,13.87,$0.52,26.74
2019-03-31,11.48,$0.47,24.31
2018-12-31,13.09,$1.01,12.92
2018-09-30,12.67,$0.95,13.3
2018-06-30,10.23,$0.66,15.44
2018-03-31,17.14,$1.02,16.87
2017-12-31,18.74,$0.81,23.12
2017-09-30,17.12,$0.71,24.06
2017-06-30,14.0,$0.71,19.7
2017-03-31,11.98,$0.78,15.36
2016-12-31,7.6,$0.63,12.02
2016-09-30,5.76,$0.41,14.04
2016-06-30,5.69,$0.46,12.3
2016-03-31,4.92,$0.38,13.08
2015-12-31,5.09,$0.06,88.25
2015-09-30,3.29,$0.22,14.77
2015-06-30,3.78,$0.08,45.37
2015-03-31,4.46,$0.04,120.45
2014-12-31,2.93,$0.50,5.84
2014-09-30,2.68,$0.66,4.06
2014-06-30,2.23,$0.75,2.95
2014-03-31,1.94,$0.75,2.59
2013-12-31,1.75,$0.71,2.47
2013-09-30,1.78,$0.44,4.07
2013-06-30,1.42,$0.45,3.16
2013-03-31,1.21,$0.53,2.26
2012-12-31,1.27,$0.43,2.97
2012-09-30,1.06,$0.52,2.03
2012-06-30,1.19,$0.50,2.38
2012-03-31,1.85,$0.50,3.69
2011-12-31,1.98,$0.40,4.94
2011-09-30,2.04,$0.49,4.15
2011-06-30,2.51,$0.36,7.05
2011-03-31,2.17,$0.18,11.81
2010-12-31,2.64,$0.27,9.9
2010-09-30,1.76,$0.61,2.89
2010-06-30,1.48,$0.69,2.14
2010-03-31,1.57,$0.78,2.02
2009-12-31,1.37,$0.59,2.32
