Barclays Price to Free Cash Flow Ratio Historical Data,Barclays Price to Free Cash Flow Ratio Historical Data,Barclays Price to Free Cash Flow Ratio Historical Data,Barclays Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.94,,3.1
2024-06-30,10.58,$4.17,2.53
2024-03-31,9.33,$-0.83,0.0
2023-12-31,7.54,$-0.83,0.0
2023-09-30,7.46,$8.36,0.89
2023-06-30,7.39,$-2.67,0.0
2023-03-31,6.76,$8.36,0.81
2022-12-31,7.12,$8.36,0.85
2022-09-30,5.85,$14.90,0.39
2022-06-30,6.86,$20.94,0.33
2022-03-31,7.13,$14.90,0.48
2021-12-31,9.13,$14.90,0.61
2021-09-30,9.1,$16.33,0.56
2021-06-30,8.42,$12.38,0.68
2021-03-31,8.93,$16.33,0.55
2020-12-31,6.93,$16.33,0.42
2020-09-30,4.35,$-4.10,0.0
2020-06-30,4.91,$11.68,0.42
2020-03-31,3.93,$-4.10,0.0
2019-12-31,8.26,$-4.10,0.0
2019-09-30,6.37,$2.19,2.91
2019-06-30,6.46,$2.62,2.47
2019-03-31,6.8,$2.19,3.11
2018-12-31,6.41,$2.19,2.93
2018-09-30,7.6,$17.76,0.43
2018-06-30,8.41,$7.86,1.07
2018-03-31,9.91,$17.76,0.56
2017-12-31,9.06,$17.76,0.51
2017-09-30,8.6,$3.16,2.72
2017-06-30,8.75,$7.16,1.22
2017-03-31,9.29,$3.16,2.94
2016-12-31,9.01,$3.16,2.85
2016-09-30,7.12,$4.55,1.56
2016-06-30,6.19,$10.89,0.57
2016-03-31,7.02,$0.06,119.19
2015-06-30,13.0,$0.06,220.79
2015-03-31,11.48,$-4.49,0.0
2014-12-31,11.67,$-4.49,0.0
2014-09-30,11.47,$-12.63,0.0
2014-06-30,11.26,$-18.20,0.0
2014-03-31,12.05,$-12.63,0.0
2013-12-31,13.73,$-12.63,0.0
2013-09-30,12.86,$-10.12,0.0
2013-06-30,12.87,$-29.18,0.0
2013-03-31,13.31,$-10.12,0.0
2012-12-31,12.83,$-10.12,0.0
2012-09-30,10.23,$14.45,0.71
2012-06-30,7.56,$39.07,0.19
2012-03-31,11.06,$14.45,0.77
2011-12-31,7.93,$14.45,0.55
2011-09-30,7.02,$8.58,0.82
2011-06-30,11.71,$8.58,1.37
2011-03-31,12.89,$8.58,1.5
2010-12-31,11.64,$8.58,1.36
2010-09-30,13.24,$22.79,0.58
2010-06-30,11.12,$22.79,0.49
2010-03-31,15.18,$22.79,0.67
