Regal Rexnord Price to Free Cash Flow Ratio Historical Data,Regal Rexnord Price to Free Cash Flow Ratio Historical Data,Regal Rexnord Price to Free Cash Flow Ratio Historical Data,Regal Rexnord Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,176.54,,22.33
2024-06-30,134.94,$7.91,17.07
2024-03-31,179.26,$8.66,20.69
2023-12-31,147.04,$9.09,16.18
2023-09-30,141.6,$9.01,15.71
2023-06-30,152.16,$8.23,18.49
2023-03-31,138.81,$7.00,19.82
2022-12-31,118.05,$5.33,22.13
2022-09-30,137.7,$3.80,36.26
2022-06-30,111.09,$4.82,23.03
2022-03-31,145.15,$5.21,27.84
2021-12-31,165.67,$6.45,25.7
2021-09-30,138.82,$8.19,16.95
2021-06-30,117.27,$8.26,14.2
2021-03-31,125.32,$8.42,14.89
2020-12-31,107.64,$9.76,11.02
2020-09-30,82.07,$10.06,8.16
2020-06-30,76.1,$10.22,7.45
2020-03-31,54.67,$10.06,5.43
2019-12-31,73.99,$7.70,9.61
2019-09-30,62.75,$6.95,9.03
2019-06-30,70.09,$6.13,11.44
2019-03-31,69.97,$6.15,11.38
2018-12-31,59.66,$6.72,8.88
2018-09-30,69.94,$5.37,13.03
2018-06-30,69.16,$4.97,13.92
2018-03-31,61.8,$4.95,12.48
2017-12-31,64.3,$5.19,12.39
2017-09-30,66.09,$6.36,10.4
2017-06-30,68.0,$7.80,8.72
2017-03-31,62.88,$8.22,7.65
2016-12-31,57.37,$8.43,6.81
2016-09-30,49.12,$8.53,5.76
2016-06-30,45.27,$7.85,5.76
2016-03-31,51.64,$7.85,6.58
2015-12-31,47.73,$6.83,6.99
2015-09-30,45.86,$5.97,7.68
2015-06-30,58.73,$4.92,11.95
2015-03-31,64.46,$4.38,14.73
2014-12-31,60.49,$4.91,12.31
2014-09-30,51.53,$4.57,11.28
2014-06-30,62.8,$4.50,13.95
2014-03-31,57.96,$4.23,13.7
2013-12-31,58.6,$4.75,12.33
2013-09-30,53.85,$4.98,10.82
2013-06-30,51.25,$4.84,10.59
2013-03-31,64.26,$6.06,10.6
2012-12-31,55.39,$6.27,8.83
2012-09-30,55.25,$6.99,7.9
2012-06-30,48.67,$7.61,6.4
2012-03-31,51.08,$6.05,8.45
2011-12-31,39.61,$5.56,7.12
2011-09-30,35.14,$3.99,8.81
2011-06-30,51.52,$3.12,16.53
2011-03-31,56.81,$3.26,17.41
2010-12-31,51.25,$3.39,15.11
2010-09-30,44.94,$5.36,8.39
2010-06-30,42.59,$6.86,6.21
2010-03-31,45.24,$8.34,5.42
2009-12-31,39.44,$7.81,5.05
