Clean Harbors Price to Free Cash Flow Ratio Historical Data,Clean Harbors Price to Free Cash Flow Ratio Historical Data,Clean Harbors Price to Free Cash Flow Ratio Historical Data,Clean Harbors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,256.93,,55.12
2024-06-30,226.15,$4.66,48.51
2024-03-31,201.31,$4.69,42.94
2023-12-31,174.51,$5.92,29.48
2023-09-30,167.36,$5.89,28.44
2023-06-30,164.43,$6.19,26.57
2023-03-31,142.56,$-1.59,0.0
2022-12-31,114.12,$0.97,117.55
2022-09-30,109.98,$-1.05,0.0
2022-06-30,87.67,$-1.37,0.0
2021-12-31,99.77,$5.96,16.74
2021-09-30,103.87,$10.70,9.71
2021-06-30,93.14,$7.61,12.25
2021-03-31,84.06,$7.73,10.88
2020-12-31,76.1,$8.35,9.12
2022-03-31,111.64,$1.16,96.22
2020-09-30,56.03,$4.72,11.86
2020-06-30,59.98,$4.14,14.5
2020-03-31,51.34,$3.32,15.46
2019-12-31,85.75,$3.72,23.08
2019-09-30,77.2,$3.76,20.51
2019-06-30,71.1,$3.28,21.67
2019-03-31,71.53,$2.87,24.9
2018-12-31,49.35,$3.47,14.24
2018-09-30,71.58,$2.29,31.26
2018-06-30,55.55,$2.35,23.67
2018-03-31,48.81,$2.08,23.52
2017-12-31,54.2,$2.20,24.64
2017-09-30,56.7,$2.66,21.28
2017-06-30,55.83,$1.60,34.81
2017-03-31,55.62,$1.95,28.57
2016-12-31,55.65,$1.06,52.44
2016-09-30,47.98,$0.50,95.75
2016-06-30,52.11,$1.24,41.95
2016-03-31,49.34,$1.32,37.29
2015-12-31,41.65,$2.49,16.74
2015-09-30,43.97,$2.86,15.37
2015-06-30,53.74,$2.36,22.78
2015-03-31,56.78,$2.49,22.8
2014-12-31,48.05,$0.79,60.48
2014-09-30,53.92,$1.11,48.66
2014-06-30,64.25,$2.00,32.05
2014-03-31,54.79,$1.69,32.39
2013-12-31,59.96,$2.31,25.95
2013-09-30,58.66,$1.76,33.28
2013-06-30,50.53,$0.66,76.15
2013-03-31,58.09,$1.93,30.08
2012-12-31,55.01,$2.50,22.02
2012-09-30,48.85,$1.88,25.97
2012-06-30,56.42,$2.23,25.26
2012-03-31,67.33,$1.10,61.45
2011-12-31,63.73,$0.71,89.87
2011-09-30,51.3,$1.36,37.78
2011-06-30,51.63,$1.15,44.72
2011-03-31,49.33,$2.45,20.15
2010-12-31,42.04,$2.34,17.99
2010-09-30,33.88,$2.02,16.75
2010-06-30,33.21,$1.78,18.69
2010-03-31,27.78,$0.43,64.83
2009-12-31,29.81,$0.63,47.21
