Under Armour Price to Free Cash Flow Ratio Historical Data,Under Armour Price to Free Cash Flow Ratio Historical Data,Under Armour Price to Free Cash Flow Ratio Historical Data,Under Armour Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.7,,11.12
2024-06-30,6.53,$0.78,8.34
2024-03-31,7.14,$0.45,15.81
2023-12-31,8.35,$0.53,15.63
2023-09-30,6.38,$-0.27,0.0
2023-06-30,6.71,$-0.62,0.0
2023-03-31,8.53,$-0.43,0.0
2022-12-31,8.92,$-1.59,0.0
2022-09-30,5.96,$-1.48,0.0
2022-06-30,7.58,$-0.66,0.0
2022-03-31,15.56,$-1.11,0.0
2021-09-30,17.52,$1.02,17.21
2021-06-30,18.57,$0.95,19.47
2021-03-31,18.46,$-0.35,0.0
2020-12-31,14.88,$-0.87,0.0
2020-09-30,9.84,$-1.66,0.0
2020-06-30,8.84,$-1.67,0.0
2020-03-31,8.06,$-1.16,0.0
2019-09-30,18.13,$-0.30,0.0
2019-06-30,22.2,$-0.34,0.0
2019-03-31,18.87,$-0.28,0.0
2018-12-31,16.17,$0.49,33.29
2018-09-30,19.46,$0.46,42.27
2018-06-30,21.08,$0.06,338.91
2018-03-31,14.35,$-0.36,0.0
2017-09-30,15.02,$-0.04,0.0
2017-06-30,20.16,$-0.01,0.0
2017-03-31,18.3,$-0.28,0.0
2016-12-31,25.17,0,0.0
2016-09-30,33.86,$-0.80,0.0
2016-06-30,36.4,$-0.80,0.0
