United Microelectronics Price to Free Cash Flow Ratio Historical Data,United Microelectronics Price to Free Cash Flow Ratio Historical Data,United Microelectronics Price to Free Cash Flow Ratio Historical Data,United Microelectronics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.0,,200.0
2024-06-30,8.3,$0.04,207.42
2024-03-31,7.66,$-0.13,0.0
2023-12-31,8.01,$-0.07,0.0
2023-09-30,6.69,$-0.07,0.0
2023-06-30,7.47,$0.10,74.5
2023-03-31,7.74,$0.55,14.03
2022-12-31,5.77,$0.87,6.67
2022-09-30,4.92,$0.98,5.0
2022-06-30,5.98,$0.85,7.04
2022-03-31,8.06,$0.75,10.82
2021-12-31,10.34,$0.63,16.52
2021-09-30,10.1,$0.52,19.37
2021-06-30,8.1,$0.64,12.6
2021-03-31,7.81,$0.61,12.71
2020-12-31,7.23,$0.60,12.09
2020-09-30,4.11,$0.96,4.29
2020-06-30,2.16,$0.69,3.14
2020-03-31,1.77,$0.60,2.95
2019-12-31,2.19,$0.50,4.41
2019-09-30,1.71,$0.12,13.95
2019-06-30,1.75,$0.49,3.59
2019-03-31,1.49,$0.38,3.92
2018-12-31,1.42,$0.39,3.66
2018-09-30,2.05,$0.37,5.52
2018-06-30,2.15,$0.63,3.39
2018-03-31,1.97,$0.58,3.42
2017-09-30,1.91,$0.45,4.2
2017-06-30,1.8,$0.14,13.15
2016-12-31,1.29,$-0.52,0.0
2016-09-30,1.36,$-0.43,0.0
2016-06-30,1.4,$-0.40,0.0
2016-03-31,1.46,$-0.14,0.0
2015-12-31,1.32,$-0.00,0.0
2015-09-30,1.14,$0.58,1.97
2015-06-30,1.38,$0.62,2.24
2015-03-31,1.64,$0.62,2.65
2014-12-31,1.53,$0.60,2.57
2014-09-30,1.34,$0.03,42.04
2014-06-30,1.62,$0.08,19.46
2014-03-31,1.4,$0.11,12.19
2013-12-31,1.37,$0.15,9.1
2013-09-30,1.39,$-0.04,0.0
2013-06-30,1.54,$-0.08,0.0
2013-03-31,1.19,$-0.10,0.0
2012-12-31,1.31,$-0.14,0.0
2012-09-30,1.35,$-0.16,0.0
2012-06-30,1.39,$-0.15,0.0
2012-03-31,1.57,$-0.10,0.0
2011-12-31,1.37,$-0.15,0.0
2011-09-30,1.22,$-0.12,0.0
2011-06-30,1.55,$-0.17,0.0
2011-03-31,1.65,$-0.17,0.0
2010-12-31,1.91,$-0.10,0.0
2010-09-30,1.68,$0.06,26.65
2010-06-30,1.73,$0.20,8.65
2010-03-31,2.24,$0.18,12.24
2009-12-31,2.31,$0.19,12.37
