TELUS Price to Free Cash Flow Ratio Historical Data,TELUS Price to Free Cash Flow Ratio Historical Data,TELUS Price to Free Cash Flow Ratio Historical Data,TELUS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.34,,15.69
2024-06-30,14.79,$1.04,14.21
2024-03-31,15.37,$0.86,17.83
2023-12-31,16.81,$0.68,24.88
2023-09-30,15.21,$0.54,27.97
2023-06-30,17.84,$0.51,35.2
2023-03-31,17.95,$0.46,38.69
2022-12-31,17.22,$0.65,26.62
2022-09-30,17.49,$0.78,22.47
2022-06-30,19.4,$0.87,22.31
2022-03-31,22.51,$1.02,22.06
2021-12-31,20.1,$1.06,18.92
2021-09-30,18.52,$0.95,19.51
2021-06-30,18.71,$0.82,22.88
2021-03-31,16.44,$0.95,17.27
2020-12-31,16.14,$1.07,15.03
2020-09-30,14.18,$0.87,16.28
2020-06-30,13.34,$0.96,13.92
2020-03-31,12.41,$0.86,14.44
2019-12-31,15.1,$0.62,24.34
2019-09-30,13.73,$0.83,16.47
2019-06-30,14.06,$0.73,19.34
2019-03-31,13.95,$0.71,19.64
2018-12-31,12.34,$0.79,15.63
2018-09-30,13.56,$0.73,18.69
2018-06-30,12.93,$0.78,16.58
2018-03-31,12.66,$0.71,17.79
2017-12-31,13.49,$0.58,23.2
2017-09-30,12.68,$0.39,32.33
2017-06-30,12.03,$0.35,33.95
2017-03-31,11.2,$0.30,37.77
2016-12-31,10.86,$0.30,36.28
2016-09-30,11.12,$-1.87,0.0
2016-06-30,10.74,$0.52,20.65
2016-03-31,10.73,$0.58,18.59
2015-12-31,9.02,$0.70,12.87
2015-09-30,10.18,$3.10,3.29
2015-06-30,11.01,$0.83,13.19
2015-03-31,10.52,$0.80,13.13
2014-12-31,11.3,$0.76,14.78
2014-09-30,10.61,$0.74,14.41
2014-06-30,11.45,$0.86,13.34
2014-03-31,10.95,$0.80,13.62
2013-12-31,10.39,$0.94,11.06
2013-09-30,9.9,$0.95,10.45
2013-06-30,8.64,$0.85,10.1
2013-03-31,10.13,$0.90,11.27
2012-12-31,9.46,$0.97,9.71
2012-09-30,8.99,$0.99,9.07
2012-06-30,8.33,$0.94,8.88
2012-03-31,8.01,$0.81,9.93
2011-12-31,7.47,$0.55,13.65
2011-09-30,6.38,$0.47,13.57
2011-06-30,7.18,$0.50,14.31
2011-03-31,6.55,$0.54,12.18
2010-12-31,5.82,$0.63,9.24
2010-09-30,5.59,$0.58,9.61
2010-06-30,4.72,$0.44,10.81
2010-03-31,4.61,$0.55,8.45
2009-12-31,3.95,$0.55,7.13
