Avnet Price to Free Cash Flow Ratio Historical Data,Avnet Price to Free Cash Flow Ratio Historical Data,Avnet Price to Free Cash Flow Ratio Historical Data,Avnet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,55.45,,10.99
2024-06-30,51.15,$5.05,10.14
2024-03-31,48.98,$4.38,11.18
2023-12-31,49.46,$-0.74,0.0
2023-09-30,46.98,$-3.95,0.0
2023-06-30,48.87,$-9.73,0.0
2023-03-31,43.5,$-13.90,0.0
2022-12-31,39.76,$-11.46,0.0
2022-09-30,34.31,$-9.30,0.0
2022-06-30,40.44,$-2.69,0.0
2022-03-31,38.08,$-1.71,0.0
2021-12-31,38.43,$-4.21,0.0
2021-09-30,34.24,$-1.06,0.0
2021-06-30,36.89,$0.41,91.04
2021-03-31,38.02,$4.28,8.88
2020-12-31,31.98,$5.35,5.98
2020-09-30,23.38,$5.98,3.91
2020-06-30,25.03,$6.54,3.83
2020-03-31,22.37,$6.65,3.37
2019-12-31,37.56,$7.93,4.74
2019-09-30,39.17,$6.39,6.13
2019-06-30,39.67,$3.72,10.67
2019-03-31,37.83,$2.51,15.07
2018-12-31,31.34,$0.60,51.83
2018-09-30,38.68,$0.98,39.49
2018-06-30,36.9,$0.81,45.33
2018-03-31,35.76,$-2.33,0.0
2017-12-31,33.78,$-6.14,0.0
2017-09-30,33.36,$-4.78,0.0
2017-06-30,32.85,$-3.80,0.0
2017-03-31,38.47,$-3.04,0.0
2016-12-31,39.87,$1.90,21.0
2016-09-30,34.26,$0.88,39.04
2016-06-30,33.66,$0.67,50.26
2016-03-31,36.66,$3.62,10.12
2015-12-31,35.31,$2.33,15.13
2015-09-30,35.04,$3.35,10.47
2015-06-30,33.62,$3.27,10.27
2015-03-31,36.26,$1.04,34.95
2014-12-31,34.93,$3.26,10.7
2014-09-30,33.57,$1.37,24.58
2014-06-30,35.71,$0.81,43.83
2014-03-31,37.38,$2.61,14.34
2013-12-31,35.31,$0.30,117.5
2013-09-30,33.26,$2.78,11.96
2013-06-30,26.69,$4.28,6.24
2013-03-31,28.76,$4.04,7.13
2012-12-31,24.32,$4.05,6.01
2012-09-30,23.11,$4.65,4.97
2012-06-30,24.52,$2.68,9.17
2012-03-31,28.91,$2.78,10.4
2011-12-31,24.7,$3.76,6.57
2011-09-30,20.72,$0.27,77.2
2011-06-30,25.33,$0.91,27.92
2011-03-31,27.08,$0.00,0.0
2010-12-31,26.24,$-1.52,0.0
2010-09-30,21.46,$-1.47,0.0
2010-06-30,19.16,$-0.56,0.0
2010-03-31,23.83,$0.83,28.77
2009-12-31,23.96,$6.04,3.96
