Carvana Price to Free Cash Flow Ratio Historical Data,Carvana Price to Free Cash Flow Ratio Historical Data,Carvana Price to Free Cash Flow Ratio Historical Data,Carvana Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,191.92,,59.77
2024-06-30,128.72,$3.21,40.09
2024-03-31,87.91,$5.15,17.06
2023-12-31,52.94,$3.93,13.48
2023-09-30,41.98,$-2.98,0.0
2023-06-30,25.92,$-5.40,0.0
2023-03-31,9.79,$-9.56,0.0
2022-12-31,4.74,$-17.77,0.0
2022-09-30,20.3,$-26.47,0.0
2022-06-30,22.58,$-38.84,0.0
2022-03-31,119.29,$-39.22,0.0
2021-12-31,231.79,$-38.05,0.0
2021-09-30,301.54,$-26.03,0.0
2021-06-30,301.82,$-17.25,0.0
2021-03-31,262.4,$-17.64,0.0
2020-12-31,239.54,$-14.90,0.0
2020-09-30,223.06,$-19.56,0.0
2020-06-30,120.2,$-20.07,0.0
2020-03-31,55.09,$-26.21,0.0
2019-12-31,92.05,$-28.96,0.0
2019-09-30,66.0,$-21.24,0.0
2019-03-31,58.06,$-16.11,0.0
2018-12-31,32.71,$-18.57,0.0
2018-09-30,59.09,$-20.66,0.0
2018-06-30,41.6,$-15.71,0.0
2018-03-31,22.93,$-20.05,0.0
2017-12-31,19.12,$-18.27,0.0
