Old National Bancorp Price to Free Cash Flow Ratio Historical Data,Old National Bancorp Price to Free Cash Flow Ratio Historical Data,Old National Bancorp Price to Free Cash Flow Ratio Historical Data,Old National Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.68,,11.27
2024-06-30,17.06,$1.75,9.77
2024-03-31,17.14,$1.82,9.39
2023-12-31,16.48,$1.65,9.99
2023-09-30,14.06,$2.00,7.04
2023-06-30,13.35,$2.06,6.5
2023-03-31,13.66,$2.30,5.95
2022-12-31,16.9,$2.82,5.99
2022-09-30,15.37,$2.69,5.72
2022-06-30,13.68,$2.49,5.49
2022-03-31,15.02,$2.08,7.21
2021-12-31,16.49,$1.87,8.8
2021-09-30,15.3,$2.16,7.09
2021-06-30,15.77,$2.31,6.81
2021-03-31,17.19,$1.83,9.41
2020-12-31,14.61,$1.18,12.33
2020-09-30,10.98,$1.00,10.96
2020-06-30,11.91,$0.56,21.11
2020-03-31,11.3,$0.86,13.08
2019-12-31,15.53,$1.16,13.4
2019-09-30,14.51,$0.92,15.76
2019-06-30,13.88,$1.02,13.56
2019-03-31,13.61,$1.16,11.72
2018-12-31,12.69,$1.33,9.53
2018-09-30,15.79,$1.35,11.74
2018-06-30,15.12,$1.34,11.25
2018-03-31,13.64,$1.11,12.25
2017-12-31,13.98,$1.67,8.37
2017-09-30,14.56,$0.18,78.89
2017-06-30,13.61,$-0.94,0.0
2017-03-31,13.58,$-0.78,0.0
2016-12-31,14.11,$-1.51,0.0
2016-09-30,10.85,$-0.46,0.0
2016-06-30,9.58,$0.47,20.34
2016-03-31,9.23,$0.54,16.97
2015-12-31,10.15,$0.39,25.75
2015-09-30,10.34,$1.13,9.11
2015-06-30,10.64,$1.35,7.9
2015-03-31,10.35,$1.13,9.2
2014-12-31,10.76,$1.68,6.42
2014-09-30,9.31,$1.49,6.26
2014-06-30,10.17,$1.50,6.78
2014-03-31,10.53,$1.77,5.94
2013-12-31,10.77,$1.48,7.26
2013-09-30,9.89,$1.55,6.38
2013-06-30,9.56,$0.34,27.86
2013-03-31,9.43,$1.16,8.14
2012-12-31,8.08,$1.02,7.9
2012-09-30,9.2,$0.79,11.62
2012-06-30,8.06,$1.50,5.37
2012-03-31,8.75,$0.89,9.82
2011-12-31,7.7,$1.39,5.53
2011-09-30,6.12,$1.31,4.67
2011-06-30,7.04,$1.36,5.19
2011-03-31,6.94,$1.30,5.36
2010-12-31,7.65,$1.07,7.17
2010-09-30,6.71,$0.21,31.38
2010-06-30,6.57,$0.78,8.44
2010-03-31,7.54,$0.44,17.16
2009-12-31,7.79,$0.37,20.78
