InterDigital Price to Free Cash Flow Ratio Historical Data,InterDigital Price to Free Cash Flow Ratio Historical Data,InterDigital Price to Free Cash Flow Ratio Historical Data,InterDigital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,155.69,,17.89
2024-06-30,115.83,$8.70,13.31
2024-03-31,105.36,$8.71,12.09
2023-12-31,107.01,$6.02,17.78
2023-09-30,78.72,$18.78,4.19
2023-06-30,94.38,$6.96,13.57
2023-03-31,70.91,$7.64,9.28
2022-12-31,47.85,$7.98,6.0
2022-09-30,38.8,$-0.29,0.0
2022-06-30,58.03,$2.49,23.34
2022-03-31,60.54,$2.76,21.96
2021-12-31,67.64,$3.02,22.38
2021-09-30,63.71,$1.27,50.15
2021-06-30,68.25,$1.22,56.12
2021-03-31,59.01,$4.39,13.46
2020-12-31,56.13,$3.90,14.4
2020-09-30,52.48,$3.81,13.79
2020-06-30,51.77,$4.77,10.86
2020-03-31,40.48,$1.75,23.17
2019-12-31,49.11,$1.62,30.34
2019-09-30,46.97,$0.31,153.78
2019-06-30,57.34,$1.12,51.38
2019-03-31,58.44,$2.18,26.84
2018-12-31,58.54,$3.18,18.43
2018-09-30,70.17,$10.02,7.0
2018-06-30,70.67,$8.18,8.64
2018-03-31,64.01,$8.47,7.55
2017-12-31,65.94,$7.79,8.46
2017-09-30,63.57,$8.30,7.66
2017-06-30,66.37,$5.08,13.08
2017-03-31,73.84,$10.02,7.37
2016-12-31,77.9,$11.24,6.93
2016-09-30,67.28,$7.39,9.1
2016-06-30,47.13,$7.74,6.09
2016-03-31,46.93,$2.98,15.77
2015-12-31,41.18,$2.49,16.52
2015-09-30,42.33,$1.17,36.08
2015-06-30,47.41,$5.07,9.36
2015-03-31,42.12,$5.19,8.12
2014-12-31,43.74,$5.09,8.59
2014-09-30,32.76,$3.61,9.07
2014-06-30,39.16,$-0.30,0.0
2014-03-31,27.04,$2.32,11.68
2013-12-31,24.0,$4.33,5.54
2013-09-30,30.31,$1.47,20.64
2013-06-30,36.15,$9.57,3.78
2013-03-31,38.67,$5.82,6.65
2012-12-31,33.19,$3.36,9.89
2012-09-30,28.95,$6.34,4.57
2012-06-30,22.84,$-1.71,0.0
2012-03-31,26.91,$-1.88,0.0
2011-12-31,33.63,$-1.42,0.0
2011-09-30,35.79,$-2.02,0.0
2011-06-30,31.32,$-0.19,0.0
2011-03-31,36.5,$0.56,65.41
2010-12-31,31.79,$2.31,13.76
2010-09-30,22.61,$2.56,8.82
2010-06-30,18.85,$5.95,3.17
2010-03-31,21.27,$6.92,3.07
2009-12-31,20.28,$6.44,3.15
