Stag Industrial Price to Free Cash Flow Ratio Historical Data,Stag Industrial Price to Free Cash Flow Ratio Historical Data,Stag Industrial Price to Free Cash Flow Ratio Historical Data,Stag Industrial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.47,,0.0
2024-06-30,35.73,$-0.43,0.0
2024-03-31,37.82,$0.14,265.06
2023-12-31,38.25,$0.47,81.41
2023-09-30,33.28,$0.67,49.44
2023-06-30,34.25,$1.47,23.29
2023-03-31,31.94,$0.68,46.72
2022-12-31,30.19,$-0.06,0.0
2022-09-30,26.27,$-3.06,0.0
2022-06-30,28.19,$-4.92,0.0
2022-03-31,37.35,$-4.67,0.0
2021-12-31,42.94,$-4.43,0.0
2021-09-30,34.86,$-3.62,0.0
2021-06-30,32.96,$-1.83,0.0
2021-03-31,29.3,$-1.34,0.0
2020-12-31,27.0,$-1.01,0.0
2020-09-30,25.98,$-1.69,0.0
2020-06-30,24.7,$-3.43,0.0
2020-03-31,18.73,$-5.00,0.0
2019-12-31,25.91,$-6.24,0.0
2019-09-30,23.92,$-3.88,0.0
2019-06-30,24.24,$-3.34,0.0
2019-03-31,23.48,$-2.93,0.0
2018-12-31,19.46,$-1.87,0.0
2018-09-30,21.31,$-2.21,0.0
2018-06-30,20.83,$-1.47,0.0
2018-03-31,18.05,$-2.65,0.0
2017-12-31,20.32,$-3.51,0.0
2017-09-30,20.17,$-3.62,0.0
2017-06-30,20.01,$-4.74,0.0
2017-03-31,17.9,$-2.85,0.0
2016-12-31,16.84,$-1.70,0.0
2016-09-30,17.03,$-1.99,0.0
2016-06-30,16.32,$-1.15,0.0
2016-03-31,13.73,$-1.56,0.0
2015-12-31,12.2,$-2.49,0.0
2015-09-30,11.83,$-2.95,0.0
2015-06-30,12.75,$-4.25,0.0
2015-03-31,14.76,$-4.46,0.0
2014-12-31,15.17,$-4.37,0.0
2014-09-30,12.65,$-3.90,0.0
2014-06-30,14.46,$-3.01,0.0
2014-03-31,14.32,$-3.42,0.0
2013-12-31,11.95,$-3.92,0.0
2013-09-30,11.62,$-9.45,0.0
2013-06-30,11.36,$-9.35,0.0
2013-03-31,11.93,$-10.26,0.0
2012-12-31,9.94,$-10.80,0.0
2012-09-30,8.86,$-5.70,0.0
2012-06-30,7.81,$-6.61,0.0
2012-03-31,7.34,$-5.16,0.0
