WEX Price to Free Cash Flow Ratio Historical Data,WEX Price to Free Cash Flow Ratio Historical Data,WEX Price to Free Cash Flow Ratio Historical Data,WEX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,213.55,,18.91
2024-06-30,177.14,$11.29,15.68
2024-03-31,237.53,$13.31,17.84
2023-12-31,194.55,$17.65,11.02
2023-09-30,188.09,$12.99,14.48
2023-06-30,182.07,$21.60,8.43
2023-03-31,183.89,$16.85,10.91
2022-12-31,163.65,$12.67,12.91
2022-09-30,126.94,$-0.68,0.0
2022-06-30,155.56,$-7.43,0.0
2022-03-31,178.45,$-1.78,0.0
2021-12-31,140.39,$-2.84,0.0
2021-09-30,176.14,$-2.67,0.0
2021-06-30,193.9,$-4.22,0.0
2021-03-31,209.22,$2.30,91.07
2020-12-31,203.53,$14.97,13.6
2020-09-30,138.97,$26.11,5.32
2020-06-30,165.01,$27.72,5.95
2020-03-31,104.55,$19.20,5.44
2019-12-31,209.46,$12.80,16.36
2019-09-30,202.07,$6.99,28.93
2019-06-30,208.1,$10.22,20.36
2019-03-31,191.99,$6.46,29.71
2018-12-31,140.06,$7.18,19.49
2018-09-30,200.76,$6.72,29.89
2018-06-30,190.48,$1.98,96.29
2018-03-31,156.62,$4.90,31.96
2017-12-31,141.23,$1.30,108.41
2017-09-30,112.22,$-4.36,0.0
2017-06-30,104.27,$-5.58,0.0
2017-03-31,103.5,$-8.57,0.0
2016-12-31,111.6,$-4.96,0.0
2016-09-30,108.09,$1.72,62.76
2016-06-30,88.67,$6.79,13.06
2016-03-31,83.36,$7.42,11.23
2015-12-31,88.4,$9.82,9.0
2015-09-30,86.84,$12.35,7.03
2015-06-30,113.97,$11.79,9.66
2015-03-31,107.36,$12.48,8.6
2014-12-31,98.92,$6.11,16.19
2014-09-30,110.32,$0.34,323.33
2014-06-30,104.97,$-5.53,0.0
2014-03-31,95.05,$-2.86,0.0
2013-12-31,99.03,$0.00,0.0
2013-09-30,87.75,$0.91,96.44
2013-06-30,76.7,$3.32,23.12
2013-03-31,78.5,$2.81,27.92
2012-12-31,75.37,$1.12,67.31
2012-09-30,69.72,$1.88,37.06
2012-06-30,61.72,$2.08,29.7
2012-03-31,64.73,$0.87,74.1
2011-12-31,54.28,$0.67,81.34
2011-09-30,38.04,$-3.03,0.0
2011-06-30,52.07,$-3.35,0.0
2011-03-31,51.84,$-2.31,0.0
2010-12-31,46.0,$-1.01,0.0
2010-09-30,35.71,$0.32,112.93
2010-06-30,29.7,$0.28,107.57
2010-03-31,30.12,$-2.92,0.0
2009-12-31,31.86,$-1.30,0.0
