Hamilton Lane Price to Free Cash Flow Ratio Historical Data,Hamilton Lane Price to Free Cash Flow Ratio Historical Data,Hamilton Lane Price to Free Cash Flow Ratio Historical Data,Hamilton Lane Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,181.0,,88.87
2024-03-31,111.93,$2.04,54.96
2023-12-31,112.13,$4.34,25.81
2023-09-30,89.04,$6.53,13.64
2023-06-30,78.36,$6.20,12.64
2023-03-31,72.06,$6.94,10.39
2024-06-30,123.19,$5.36,23.0
2022-12-31,61.85,$4.21,14.68
2022-09-30,57.39,$3.73,15.4
2022-06-30,64.32,$3.33,19.31
2022-03-31,73.52,$3.00,24.51
2021-12-31,98.1,$3.77,26.04
2021-09-30,80.03,$4.57,17.51
2021-06-30,85.63,$4.33,19.79
2021-03-31,82.9,$5.08,16.31
2020-12-31,72.8,$4.42,16.47
2020-09-30,59.99,$4.31,13.92
2020-06-30,62.25,$4.34,14.34
2020-03-31,50.85,$4.02,12.64
2019-12-31,54.54,$3.99,13.68
2019-09-30,51.88,$3.72,13.95
2019-06-30,51.73,$3.98,13.0
2019-03-31,39.51,$4.37,9.04
2018-12-31,33.38,$3.77,8.85
2018-09-30,39.7,$4.65,8.54
2018-06-30,42.82,$5.01,8.54
2018-03-31,33.08,$4.97,6.65
2017-12-31,31.29,$9.58,3.27
